Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_2009_2019_original_sleep,ngram_2009_2019_updata_sleep
Synset('burberry.n.01'),garm,1,0,0.0,1.1581196581196582,2.164431166930862,8,1,1,nb,1.7934418039544653e-07,1.7934418039544653e-07
Synset('bed_jacket.n.01'),garm,1,0,0.0,1.1581196581196582,1.0904767711254724,10,1,1,nb,1.3170225966310537e-08,1.3170225966310537e-08
Synset('fichu.n.01'),garm,1,0,0.0,0.9475524475524476,0.7600292647238142,5,1,1,nb,4.541394864710956e-08,4.541394864710956e-08
Synset('serape.n.01'),garm,1,0,0.0,1.1581196581196582,0.9417753932447264,6,2,1,nb,4.732245647867925e-08,4.732245647867925e-08
Synset('capote.n.02'),garm,1,0,0.0,1.052836052836053,0.9417753932447264,6,2,2,nb,3.753556385508652e-07,3.753556385508652e-07
Synset('cope.n.02'),garm,1,0,0.0,1.052836052836053,1.0574320204853067,4,1,3,nb,1.1365873642174309e-05,1.1365873642174309e-05
Synset('newmarket.n.01'),garm,1,0,0.0,1.052836052836053,1.007864894525058,9,1,2,nb,2.826684994456324e-07,2.826684994456324e-07
Synset('burnous.n.01'),garm,1,0,0.0,1.052836052836053,1.173088647725887,7,3,1,nb,5.31489255352725e-08,5.31489255352725e-08
Synset('dhoti.n.01'),garm,1,0,0.0,0.9475524475524476,0.5617607608828191,5,1,1,nb,9.448130770679923e-08,9.448130770679923e-08
Synset('four-in-hand.n.01'),garm,1,0,0.0,1.052836052836053,1.387879526886965,12,1,2,nb,4.191931511001521e-08,4.191931511001521e-08
Synset('capote.n.01'),garm,1,0,0.0,1.1581196581196582,0.991342519204975,6,2,2,nb,3.283971546212557e-07,3.283971546212557e-07
Synset('maxi.n.01'),garm,1,0,0.0,0.9475524475524476,0.5617607608828191,4,1,2,nb,4.404868738448122e-07,4.404868738448122e-07
Synset('full_skirt.n.01'),garm,1,0,3.613333333333333,0.9475524475524476,0.5617607608828191,10,1,1,nb,8.794763769773536e-08,8.794763769773536e-08
Synset('hobble_skirt.n.01'),garm,1,0,0.0,0.9475524475524476,1.1235215217656382,12,1,1,nb,6.580839193026655e-09,6.580839193026655e-09
Synset('feather_boa.n.01'),garm,1,0,0.0,0.9475524475524476,0.7104621387635653,3,2,2,nb,7.835905379056046e-07,7.835905379056046e-07
Synset('kameez.n.01'),garm,1,0,0.0,1.1581196581196582,1.6191927813681255,6,1,1,nb,9.621758220471319e-08,9.621758220471319e-08
Synset('rebozo.n.01'),garm,1,0,0.0,0.9475524475524476,2.412266796732106,6,1,1,nb,4.293508866366884e-08,4.293508866366884e-08
Synset('dashiki.n.01'),garm,1,0,0.0,0.9475524475524476,0.6939397634434825,7,2,1,nb,2.3846876439119858e-08,2.3846876439119858e-08
Synset('jellaba.n.01'),garm,1,0,0.0,1.052836052836053,1.156566272405804,7,1,1,nb,8.422256775835796e-09,8.422256775835796e-09
Synset('kurta.n.01'),garm,1,0,0.0,0.9475524475524476,1.949640287769784,5,1,1,nb,1.0222040313191304e-07,1.0222040313191304e-07
Synset('banyan.n.02'),garm,1,0,0.0,1.1581196581196582,0.7930740153639799,6,2,2,nb,3.7979517332539037e-07,3.7979517332539037e-07
Synset('bush_jacket.n.01'),garm,1,0,0.0,1.1581196581196582,1.2557005243263015,11,1,1,nb,8.117947527581054e-09,8.117947527581054e-09
Synset('burqa.n.01'),garm,1,0,0.0,0.8422688422688422,1.8174612852091208,5,2,1,b,2.688795051659037e-07,2.688795051659037e-07
Synset('domino.n.02'),garm,1,0,3.613333333333333,1.052836052836053,1.222655773686136,6,1,4,nb,1.4696285481492892e-06,1.4696285481492892e-06
Synset('surcoat.n.01'),garm,1,0,0.0,1.052836052836053,0.7104621387635653,7,1,2,nb,1.2660334246617955e-07,1.2660334246617955e-07
Synset('cloak.n.02'),garm,1,29,0.0,0.9475524475524476,0.3469698817217412,5,1,5,nb,7.179193756004762e-06,7.179193756004762e-06
Synset('kimono.n.01'),garm,1,0,0.0,0.9475524475524476,1.007864894525058,6,1,1,nb,5.38155543239327e-07,5.38155543239327e-07
Synset('camise.n.01'),garm,1,0,0.0,0.9475524475524476,0.9582977685648092,6,1,1,nb,1.91309503466181e-09,1.91309503466181e-09
Synset('sarong.n.01'),garm,1,0,0.0,0.9475524475524476,2.0487745396902817,6,1,1,nb,2.3462423527253018e-07,2.3462423527253018e-07
Synset('aba.n.01'),garm,1,0,0.0,0.9475524475524476,1.1069991464455553,3,1,2,nb,2.0167077749988493e-06,2.0167077749988493e-06
Synset('bathrobe.n.01'),garm,1,0,0.0,0.9475524475524476,0.991342519204975,8,1,1,nb,6.790173136488936e-07,6.790173136488936e-07
Synset('oilskin.n.01'),garm,1,0,0.0,1.2634032634032637,1.420924277527131,7,2,7,nb,4.422123636160791e-07,4.422123636160791e-07
Synset('doublet.n.01'),garm,1,0,0.0,1.1581196581196582,0.9417753932447264,7,1,1,nb,9.061401884997106e-07,9.061401884997106e-07
Synset('cutaway.n.02'),garm,1,0,0.0,1.052836052836053,1.1069991464455553,7,1,2,nb,2.4023540092586093e-07,2.4023540092586093e-07
Synset('frock_coat.n.01'),garm,1,1,0.0,1.052836052836053,1.3052676502865503,10,1,1,nb,2.1593444252878477e-07,2.1593444252878477e-07
Synset('prince_albert.n.02'),garm,1,0,0.0,1.1581196581196582,0.5617607608828191,13,1,2,nb,3.9949814446448395e-07,3.9949814446448395e-07
Synset('swallow-tailed_coat.n.01'),garm,1,0,7.226666666666666,1.1581196581196582,1.0904767711254724,11,3,1,nb,1.671559096795182e-07,1.671559096795182e-07
Synset('surtout.n.01'),garm,1,0,0.0,1.1581196581196582,0.7435068894037312,7,1,1,nb,1.3471443068140007e-07,1.3471443068140007e-07
Synset('vest.n.01'),garm,1,1,3.613333333333333,0.8422688422688422,0.8095963906840629,4,2,7,b,5.061583197988026e-06,5.061583197988026e-06
Synset('bow_tie.n.01'),garm,1,2,0.0,1.052836052836053,0.4956712596024875,6,3,1,nb,6.216881888126463e-07,6.216881888126463e-07
Synset('dress_shirt.n.01'),garm,1,0,3.613333333333333,0.9475524475524476,1.3548347762467992,11,2,1,nb,3.8446460913877833e-07,3.8446460913877833e-07
Synset('trench_coat.n.01'),garm,1,0,0.0,1.1581196581196582,0.8426411413242287,11,1,1,nb,3.481765371369441e-07,3.481765371369441e-07
Synset('toga.n.01'),garm,1,1,0.0,1.052836052836053,0.7435068894037312,4,1,1,b,5.043795454174781e-07,5.043795454174781e-07
Synset('salwar.n.01'),garm,1,0,0.0,0.9475524475524476,2.197475917571028,6,2,1,nb,1.276039225395209e-07,1.276039225395209e-07
Synset('pants_suit.n.01'),garm,1,0,0.0,1.052836052836053,0.8426411413242287,8,2,1,nb,2.2068810547690923e-07,2.2068810547690923e-07
Synset('ski_parka.n.01'),garm,1,0,0.0,1.2634032634032637,0.5121936349225704,9,2,1,nb,5.048615666024396e-08,5.048615666024396e-08
