norm,KBNC_1m_Count
such,288
beautifully,17
suitcase,20
land,102
every,386
pulled,216
Caspar,133
Maybe,114
across,428
hours,123
between,282
uphill,3
forward,175
bunch,28
half-covered,1
together,329
amazed,26
eh,71
please,131
there,2334
enormous,60
wool,52
0,29
last,629
forgotten,95
patronizing,2
Nutty,349
can,1412
Pergamon,1
"""",835
whispering,15
Year,15
6oz,2
faster,54
blushed,24
quite,509
sun-wise,1
something,812
machines,50
ask,258
Tell,91
Somebody,16
½,33
sat,425
bees,27
Whatever,44
'd,1512
Shapes,1
dog,317
tinkled,1
blood,84
single,48
K,4
scratched,30
everywhere,36
Well,619
',217
Albert,146
many,417
favourite,30
over,1406
still,783
Amazing,5
There,1282
bottom,112
anyway,114
kitchen,230
composer,1
Nancy,15
tell,624
young,269
Machinery,1
whether,115
far,348
beside,197
Can,144
Jarman,80
war,75
visit,82
glass,196
mumbled,29
Did,191
Sydney,2
underneath,40
eaten,48
Pack,177
one-and-eightpence,1
curtains,50
laid,52
way,1084
lot,297
church,80
first,689
only,995
triangle,63
shouted,204
trip,33
rained,3
love,243
air,227
give,362
live,205
disappeared,97
here,968
bear,77
called,451
remembered,148
grow,78
middle,134
does,478
sent,122
coughing,21
name,330
point,177
needed,108
power,101
Give,68
Bag,2
official,24
Germans,13
nodded,204
diagram,32
con,12
unfortunately,5
green,192
process,8
15,22
stretching,16
accordingly,1
,215
years,297
graph,37
department,8
perhaps,165
magazines,17
force,46
Mokosh,12
grinned,74
someone,306
Mould,95
agent,23
wasting,13
home,603
bindings,1
morning,285
'm,1207
bedevilled,1
sense,96
figure,82
Midnight,176
dancing,53
Brown,139
really,585
about,2269
Villa,2
good,789
administration,2
desk,99
lift,74
heel,9
Doyle,170
clattered,12
detached,7
Campbell,41
body,145
des,6
cake,85
situation,34
skull,53
puffing,6
worn,26
stop,307
Angela,81
Your,155
battlements,5
call,211
road,198
grandsons,6
poor,148
toad,10
burger,1
Their,63
strap,7
Bible,69
sandals,11
Here,184
growing,84
sketch-pad,3
wo,361
bearded,3
clouding,1
ground,260
atmosphere,23
leading,45
horror,60
long,830
Explain,5
behind,423
Jesus,87
victims,6
paddling,5
claws,10
case,132
look,783
photographs,11
values,25
ourselves,34
Standing,17
Stone,14
how,790
watching,164
both,315
organise,5
strokes,5
clock,31
scabbards,2
gossip,15
sunlight,25
important,148
hardly,123
finishes,2
wind,125
sayings,5
Lee,755
tube,17
Matilda,369
ring,80
drat,3
leg,79
tired,113
buy,88
frightening,13
moodily,1
enough,443
chuckling,5
To,221
mixed,30
gardens,23
streaming,10
Cottle,28
rub,9
may,193
clean,96
birds,98
son,172
die,99
For,285
plastic,18
lower,43
Herr,196
tied,57
well-wishers,1
handed,56
carrot,8
Take,90
surveyed,7
scarcely,25
sometimes,130
eyebrows,30
those,314
Biddy,79
person,183
Smith,52
beech-tree,4
everything,244
fairly,29
hatched,4
King-Fisher,15
stand,169
Wear,5
hexagons,2
amazement,23
shepherd,15
days,245
hands,423
fruit,54
gave,439
notice,124
grew,87
Bean,88
gift,18
most,345
follow,50
act,44
half,267
Mr,1036
sides,93
Two,120
Finland,1
talking,203
office,46
Taking,20
birthday,41
Oh,692
(,505
laughed,189
though,435
Meeting,28
anything,476
plain,34
child,202
wrong,259
Could,74
movement,41
Griselda,15
cried,257
stew,7
Now,476
value,34
This,524
dangerous,79
Call,13
often,155
afternoons,16
delicious,12
Seven,13
hiding,39
ambition,9
uproar,3
plane,93
getting,265
second,182
bristling,1
eyes,849
break,64
less,100
Rilla,69
graveyard,20
pictures,83
game,113
horseshoe,1
Because,105
hairpins,3
Wright,146
sir,125
hungry,53
straw,42
Rebel,19
rattled,21
themselves,110
heard,479
celebrated,1
floorboards,17
Ann,53
brave,61
afraid,181
speak,143
found,463
conversation,58
Floridian,4
times,176
amongst,26
better,397
heads,85
smelling,5
bribes,2
Gurder,253
drink,91
At,331
felt,691
places,96
cube,16
Since,43
100,8
turn,266
Imp,4
gold,80
past,226
apparently,22
hanging,88
Frau,201
general,15
should,531
shall,180
Terrible,10
idiot,30
done,423
library,89
Johnny,97
washstands,1
Boroughbridge,1
Phoebe,72
check,39
run,252
shrilled,4
pieces,86
stiffened,15
alone,156
led,104
sparks,13
social,19
3a,1
ear,69
met,123
Every,71
a.m,8
rather,240
loaves,4
giving,108
why,356
write,114
stationed,2
vicious,10
sure,411
per,16
pounds,45
slats,1
Even,142
left,555
mop,12
masks,5
scalp,9
mean,471
Cross,8
E,16
born,62
rim,7
Tap,1
thread,25
measuring,17
idea,225
earth,141
compare,13
crossing,18
actually,80
Schultz,3
doors,86
aisle,4
permed,2
Felicity,52
closed,128
connections,1
tugged,30
stringy,4
wet,88
brown,160
kill,79
variety,8
tunnel,53
collar,62
bad,199
almost,331
notes,22
Who,239
inch,20
number,184
tea,209
orders,13
chair,163
Worm,88
grunted,35
rocker,3
coy,2
thoughts,65
laughing,91
knights,4
although,146
elbow,27
few,384
voices,36
jawbone,1
reason,105
real,203
fanning,3
tanned,4
blow,48
horseman,5
lodgers,6
Grandads,2
difficult,98
member,18
floor,248
Conrad,57
fainted,5
explain,87
bricks,16
interesting,65
Lazy,2
chat,16
water,467
Purl,5
reached,216
stairway,6
doorway,44
rush,24
drunk,28
hurriedly,19
hatch,18
proper,58
Patron,1
speaking,54
supposed,70
flea,6
Loud,5
oozing,8
journey,54
which,970
umbrella,9
horribly,19
including,24
omelette,1
immediately,58
rank,1
sail,27
Vicar,10
cars,56
tried,307
B,60
whackings,1
Once,74
low,113
present,56
example,53
factory,50
McTavish,15
provided,14
knacker,11
demands,17
career,7
lives,71
virtually,5
itself,95
seem,156
working,106
butterflies,7
onto,72
flash,27
Would,96
Science,8
boys,126
dead,210
egg,91
milk,91
windscreen,12
replied,247
loving,22
Let's,128
frank,4
little,926
sleep,143
Lachlan,227
mates,11
Meridian,1
regular,19
d',55
arterials,1
Er,25
school,548
against,360
Care,4
