norm,Synsets,domain_x,ngrams_last_mean,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,kbnc_1m_sum,childes_1m_rel_sum,childes_2_4m_rel_sum,childes_5_7m_rel_sum,bnc_1m_sum,bnc_5_7m_sum,bnc_2_4m_sum,bnc_100m_sum,cabnc_per_100k_2_4m,cabnc_per_100k_1m
breadfruit,Synset('breadfruit.n.02'),fruit,-15.41336131,1,0,1.3401360544217686,0.8761118170266836,2.4898567058444696,10,1,2,b,0,0.0,0.0,0.0,0,2,0,14,0,0
canistel,Synset('canistel.n.02'),fruit,-20.95196484,1,0,1.3401360544217686,0.8761118170266836,1.0149734342295926,8,2,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
cantaloup,Synset('cantaloup.n.02'),fruit,-16.21661558,1,0,1.3401360544217686,1.1264294790343077,1.2528578328771536,9,2,2,nb,0,0.0,0.0,0.0,0,2,0,12,0,0
capulin,Synset('capulin.n.02'),fruit,-21.44151305,1,0,1.3401360544217686,1.0012706480304956,0.3171791981967477,7,2,2,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
carambola,Synset('carambola.n.02'),fruit,-17.84375568,1,0,1.3401360544217686,0.8761118170266836,1.7444855900821123,9,2,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
casaba,Synset('casaba.n.01'),fruit,-19.79990058,1,0,0.0,1.2515883100381195,0.7136531959426824,6,2,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
catawba,Synset('catawba.n.02'),fruit,-15.13408587,1,0,0.0,1.2515883100381195,0.7295121558525197,7,1,3,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
ceriman,Synset('ceriman.n.02'),fruit,-20.18125936,1,0,1.3401360544217686,0.8761118170266836,1.2211399130574787,7,2,2,b,0,0.0,0.0,0.0,0,0,0,2,0,0
cherry,Synset('cherry.n.03'),fruit,-12.59447097,2,8,1.3401360544217686,0.8761118170266836,0.5709225567541459,6,1,5,b,343,0.000671,0.000715,0.000675438596491228,176,1140,487,19038,767,270
citrus,Synset('citrus.n.01'),fruit,-14.52089699,1,19,2.6802721088435373,0.8761118170266836,1.5541780711640638,6,3,2,nb,0,0.0,0.0,0.0,2,10,4,280,0,0
clementine,Synset('clementine.n.02'),fruit,-18.3037331,1,0,0.0,1.1264294790343077,0.983255514409918,10,1,2,nb,0,0.0,1.6666666666666667e-06,3.5087719298245616e-07,0,0,0,32,2,0
