norm,BNC_2_4m_Count
archbishop,36
officer,197
holidays,68
entire,117
mummy,55
car,558
powell,23
secretaries,22
literature,96
20,304
largely,149
dependent,81
days,691
collapse,60
[,705
during,943
rearranged,6
formal,130
students,285
sort,560
experience,448
together,633
liability,88
earlier,356
lecture,49
hopefuls,3
been,5605
will,5308
taking,468
kidlington,2
workers,293
applicable,29
challenges,27
object,117
remarkably,28
targon,1
toffs,1
hoped,113
relationship,267
monopoly,36
mm,758
enquiring,8
invariably,39
"£8,500",1
eglantine,1
around,952
wings,59
downwards,17
examinations,35
front-runner,4
effects,253
material,287
planes,21
curve,54
win,255
other,3328
robert,174
catering,45
opinion,147
colonel,43
imposed,71
frenchwoman,2
even,1954
three,1706
aragon,6
widened,21
masterminded,3
nan,12
evil,50
deep,208
chorus/mix,1
such,2334
play,477
screen,113
potential,220
hat,67
behind,465
georgiades,7
book,533
cavagna,1
community,504
proposals,184
martin,108
these,2712
writing,228
antiquarian,5
towns,88
convenient,45
within,979
one,6435
california,59
're,1680
white,525
extremely,141
45/94,1
slippery-bodied,1
site,221
associated,192
maria,34
michelle,10
yesterday,392
ago,406
through,1761
giggle,7
4,414
seconds,91
ca,692
uhum,1
flower,59
things,850
dealing,132
lived,175
fell,206
system,941
sought,104
c.itoh,1
swept,49
1983,143
stomach,63
1942,18
asia,66
criticizing,5
module,57
standard,273
western,205
quote,34
insurance,159
lawns,9
dress,96
then,3275
man,1226
partners,76
healthy,86
near,378
here,1472
privately,37
employed,92
singing,66
how,2070
voicing,5
walked,177
1,781
polythene,7
markets,118
private,359
centre,472
today,547
andrew,85
arrived,177
water,745
preservation,28
act,600
signed,127
while,1188
used,1485
glorious,23
indeed,361
intends,21
drinks,45
kissing,10
originally,99
exchange,177
never,1147
phyla,3
sense,446
north,444
region,212
learning,200
leaving,199
project,309
upper,116
kami,1
bits,76
caddie,6
following,577
caroline,37
'll,1458
malta,13
narrow,89
cheaper,43
allocate,9
career,156
circulation,32
also,2616
chemically,5
ineffective,9
friends,310
existence,140
home,1069
actually,542
reuter,8
aware,215
house,1013
positions,70
annual,161
60,80
inter-city,3
members,585
hair,317
rustle,5
sortie,3
privileged,29
killed,164
children,969
led,365
boilermakers,2
head,768
confirms,16
stop,323
medicine,60
basic,231
echoed,20
bias,30
13,145
herself,337
underlines,7
uncertain,39
nothing,676
another,1257
hours,393
attractions,16
table,404
motaball,1
database,63
collapsed,31
interpretation,95
100,139
stephenson,11
rushed,28
output,137
gunshots,1
already,726
made,1981
exceptions,40
thus,479
presents,52
roses,30
wanted,492
introduction,138
session,99
2.06,1
amendments,17
common,448
bubo,1
delivery,82
effie,2
pelagic,2
particular,632
:,5462
seller,38
towards,569
war,586
britain,564
past,531
beginnings,13
],750
among,485
widths,1
most,2018
seek,110
television,207
operation,201
whole,681
mystery,40
nations,96
arrival,74
slowly,155
coast,105
using,503
patissier,1
sent,264
religious,143
content,133
thoroughly,47
defence,260
go,1806
name,519
julie,36
licensing,22
put,1228
annually,33
swift,34
look,1183
industry,457
big,530
pound,161
hapless,2
comprises,20
six,673
tests,115
employment,252
remember,436
views,130
expensive,135
found,1002
says,763
bit,566
prop,11
soon,445
city,485
structure,295
attached,66
β-,2
tanned,10
gabba,2
1990,365
awareness,85
concern,206
magnum,5
tackle,44
smith,168
process,475
