norm,BNC_2_4m_Count
intent,44
visible,44
referred,98
metre,19
doyle,21
orcs,12
dinero,1
dear,193
determined,168
promoting,49
maggses,1
heap,15
nest,36
exit,28
register,72
debris,15
e.,51
universities,62
russian,118
lifelong,8
beautiful,162
scrap,15
mid-thirteenth,2
yearn,1
practised,26
criticised,19
charity,96
ann,45
duxford,3
isabel,37
cngsb,1
se-100,1
bye-law,3
tongue,55
historian,28
electric,66
insulin,6
convinced,84
raises,34
closer,99
arcade,7
tall,101
neared,3
politic,2
arena,22
leapor,12
cloak,13
kent,70
tense,22
poll,80
letty,2
fifth-century,3
lasers,4
bother,45
attacking,23
demanded,63
tubes,20
morbid,1
errant,2
feature,127
algebraic,4
revert,12
answering,28
tibia,1
anywhere,75
greco,3
galicia,6
scratch,17
barrels,13
select,65
hailed,18
1773,5
possibilities,55
prescriptive.,1
convection,9
invited,96
drained,19
boosts,1
risks,62
dissension,4
bears,24
italia,4
dreams,61
listing,33
necessity,32
mcmillan,4
spd,9
goldsmith,5
bedecked,1
perceived,57
microdroplet,1
speak,195
luhnenschloss,1
polyhedrin,1
inch,35
criticism,93
f.,31
adjectives,9
ministries,13
id,13
tolls,2
accountancy,19
mend,8
drift,18
starts,78
37316,1
teletel,1
arguments,68
345,2
womb-like,1
advise,32
disadvantage,21
risk-free,4
abandon,35
swinging,18
computation,4
controversies,8
tunnel,54
laid,137
80,50
usl,16
photographers,16
users,160
fielders,1
baby,173
panel,90
neuro-physiological,1
mandibles,4
fitted,87
knight,22
sialyl,1
enjoying,41
mol,2
"£4,800",2
snapped,34
cruises,1
warner,16
troubles,26
commonwealth,38
destination,27
lit,50
contradictory,13
maize,5
ages,80
philomel,1
trapping,3
peat,17
barclay,11
paisley,17
losing,76
abruptly,19
opera,44
multi-agency,1
forget,121
requiring,38
sufferers,17
scrutiny,28
representing,36
£905,1
meetings,135
rounded,34
elektra,1
code,116
locomotives,10
promotion,71
wc1,3
1999,5
bringing,92
mechanical,31
12.5,7
sequence,96
bundle,15
bathroom/w.c.,1
skies,12
verbal,39
kingston,11
mitchell-moore,1
high-profile,4
explanatory,10
non-manual,5
jonathan,34
periodic,13
coffee,144
granton,1
negligence,21
magnificent,45
mellow,9
minimum,108
pilots,24
tomatoes,16
sweep,27
scrubby,6
singapore,19
badly,79
31-year,1
battle,135
papers,153
airy,8
recollect,5
impotency,1
rush,59
program,85
well-meaning,3
down-side,1
existential,5
numerous,55
jones,98
overcome,59
autonyms,1
collard,1
raise,144
glasses,39
run-up,6
d.,37
pelvic,8
electromagnetism,3
carter,30
timmy,2
colleague,34
scheme,240
pitched,14
producer,33
courcier,1
thunderous,2
asserting,13
tit,7
finchampstead,1
insoluble,6
boguslaw,1
settled,93
struggled,16
consolidation,10
dir,1
scarce,10
rhetorical,9
ears,59
captors,3
menzies,7
fenced,5
births,17
besides,48
whitish,3
x-terminals,1
pleasant,52
footsteps,25
hypomagnesaemia,1
organ,23
harbour,38
anger,83
coined,8
£1.28m,1
dun,15
streets,96
keyholes,1
suns,3
implies,47
ill-fitted,1
recovering,22
oils,20
sebastian,10
287,1
5.4.3,1
costly,21
biff,5
philip,82
circlets,1
junctions,17
arrogance,9
liberal,124
price-sensitive,2
resting,20
copenhagen,8
sterile,11
shoes,66
neatly,27
demi,2
seemingly,33
begun,86
pains,30
affective,5
smoothly,27
salisbury,19
exercised,32
boxes,54
overreacted,1
external,107
downstream,10
senfed,1
potent,17
posited,2
hence',1
engender,3
discontinuous,3
morley,6
namibia,8
departments,81
sprung,7
chassis,5
goodall,4
mikila,2
sulphur,16
photocopy,3
drag,28
humour,45
steel,99
1854,6
turret,3
atum,2
staining,13
seeds,34
quaker,4
abroad,68
cecil,8
redness,3
hardened,12
labourers,17
shoppers,16
scientists,76
thoughtfully,13
disaffection,1
squarish,1
laconia,2
merely,145
31,90
woolly,5
negilgence,1
inescapable,5
purpose,197
rejuvenation,2
1964,33
cooker,4
cdu-csu,1
heading,58
terry,49
size,227
tallant,1
non,22
chargeable,6
underpricing,2
afraid,122
emerging,41
academy,33
bee,11
pollutant,1
adalgar,1
reflection,38
midfielder,7
½%;,2
trip,102
tapped,22
excited,32
architecture,43
pessimistic,7
ix,5
consent,75
physiotherapist,3
brice,2
proteus,2
hattersley,3
definitely,50
bottle,74
unite,8
tchaikovsky,2
wreck,12
beef,29
corporate,105
over-learning,1
barnes,27
correlated,10
suggestion,75
poisoning,17
scrutinising,3
processed,18
diamond,21
d'achille,1
overt,11
belgian,12
avize,2
iwm,1
exactly,211
councils,84
saddle,23
angy,4
allegations,49
locked,61
barham,3
abstraction,7
fifty,204
infantile,2
mathematics,49
criminal,102
channelled,5
centred,24
velvet,20
moratorium,4
meantime,31
levy,14
prospect,58
opportunities,113
discrete,15
beam,27
logs,12
gaits,1
notional,8
cd8,2
clayton,4
ours,35
insects,34
summed,12
lacking,38
barbarians,6
recognition,135
reliant,1
marital,11
czechoslovakia,27
pillar,5
aviv,4
≤10%,1
fronds,2
fumbled,2
25.13,1
infection,51
note,209
muderris,2
reject,36
influential,42
alpha,27
berkshire,18
flustered,3
bicycle,18
firkins,1
mirth,1
carer,8
assailants,4
bu,5
intrusion,9
hamilton-jones,1
indistinguishable,7
chuckle,8
finnegans,1
outlay,4
emphatically,6
christ,109
stems,26
longest,13
manifesto,21
gulls,6
relationships,123
stepped,66
requested,35
reconstruction,17
intellect,8
treating,25
pc,59
cores,4
concerning,70
compositors,5
nazis,12
dna,69
pensions,38
infarcted,1
foolish,19
shrink,8
pop,79
momentary,3
radiant,11
dak,1
furthest,5
masks,11
initially,76
pharmacist,7
lip,35
blue-chip,2
broader,18
astonished,17
wiles,1
defending,26
ignorant,14
dominates,3
mina,2
assignment,17
reducibility,1
sentimental,17
cheshire,20
1855,9
corcuero,1
instinct,24
defendant,82
bull's-eyes,1
anxiety,64
realists,3
v-ven,1
uncritical,3
transcription,19
broadcast,33
400dpi,2
framework,80
brittain,3
delegation,36
asbestos,6
egalitarian,4
interchange,11
ribbon-like,1
817,1
£324.6,1
affairs,162
either/or,1
hut,26
redundancies,18
secondary,95
idleness,4
bibliographic,5
asserted,16
attini,1
privilege,30
murderers,4
spokeswoman,13
bile,20
petrochemical,2
ward,82
enact,3
mixture,56
hackney,11
arched,14
bewildered,11
explore,44
"£5,000+vat",1
incomer,1
garland,6
martin-jenkins,1
taxman,6
respectable,26
dana,12
stretch,54
inc.,8
snake,15
pronouns,8
lover,44
fifty-nine,1
utmost,16
shells,22
shingle,9
£150,11
beneficial,31
scarpered,1
clinton,48
chinese,87
krenz,2
meals,34
sequences,32
tyson,11
gusty,2
λ,2
competitors,40
exclude,26
pat,47
f-–,1
dotty,6
1702,1
anchor,21
analysts,29
wade,16
assimilated,7
a8,1
continues,83
84,13
hormone,6
hero-tribute,1
nobles,11
designer,36
anglo-japanese,1
42-mers,1
harvest,26
demonic,2
alleviated,5
enforcement,29
submitting,8
1708,1
ppa,1
dismount,2
academician,2
ivy,8
skoda,1
moor,29
secrecy,15
pack,62
slot,15
reuben,2
gates,44
"£45,000",1
punjab,4
benefiting,4
37608,3
fans,79
elevated,11
volume,103
li,24
so-called,67
glad,67
instructor,8
microverb,1
distillation,5
toffee,4
executive,193
cooking,51
nordic,5
capital,279
rebuff,1
nash,6
reef,16
mountains,48
ought,123
bobby,28
implementation,53
christians,42
yachting,5
willingly,14
supporters,79
sh,14
stabilisers,2
miaoued,1
eye-sighted,1
administrative,75
inviolate,4
"2,500",6
sheep,52
hampton,6
figaro,4
tactical,16
negotiator,3
movement,246
rehearsed,6
monasteries,7
legend,26
taxable,9
displayed,61
swallow,14
catalyst,11
frowning,13
suit,105
tract,8
amp,17
complied,8
distinctly,25
addition,221
jordan,21
confess,12
post-war,34
34588,1
prevalent,18
mob,17
impact,186
intimidated,6
quiet,155
devising,13
habits,41
intro,2
bounded,5
lawlessness,1
decreased,16
ben,50
penny-pinching,1
screams,14
dawa,1
pledged,11
shopping,80
billingham,8
gasped,19
coolly,5
delicacies,2
dr.,24
23,97
contempt,22
transaction,44
plight,17
somatostatin,2
ventilation,12
arturo,2
tearing,13
search,150
bob,82
answered,75
sorted,29
ellie,18
northamptonshire,10
maintain,116
32,39
diligence,8
thin,102
earth,177
stewards,16
forest,147
verdict,33
inspected,13
amalgamemnon,2
daddy,46
ah1/2,1
mikhail,7
emphasise,25
burke,8
importer,7
chapel,46
iq,5
contexts,23
ibstock,2
sail,40
hci,5
functionality,7
devoting,6
obstacles,14
44.7%,1
noun,12
hadley,3
crossroads,13
advance,97
dukes,7
historic,51
pbs,2
marked,127
inaccurate,8
camille,11
misfortunes,3
orgy,4
unaware,20
portersept,1
gamma,10
welsh,72
operate,82
integrated,68
dubbed,9
cocktail,27
insufficiency,4
considerations,50
gatevalve,1
10s,3
electronic,87
azure,4
tenacious,5
italian,90
thingy,2
monetary,50
nuffield,4
reacted,16
newspaper,107
greatly,87
guard,61
vicarages,3
beneficiaries,8
marven,1
coventry,22
s17(10),1
s.,52
high-pressure,1
frantz,1
suitcase,9
attitudes,133
chance,269
bellini,3
slowness,4
oxygen,33
embraced,18
stool,23
pension,107
jane,77
typed,16
$17,2
worn,44
kreuzweg,1
warm,144
targets-instruments,1
wheels,37
shoulder-high,2
ghost,25
ruth,67
durham,49
ulster,55
bus,114
protest,73
a7,1
forty-six,2
scared,34
ply,3
revolutionized,1
projects,123
differentiated,11
23min,1
torn,20
helmets,8
quasi-experimental,1
headlights,5
arcadia,1
wooden,69
ovulation,5
attacked,61
pinder,3
perspective,78
timing,37
summatively,1
thinker,4
elite,31
sons,65
banishing,2
melt,10
nancy,10
fate,46
skragged,1
contingency,8
feeding,62
seldom,35
fossae,1
conclusions,49
1950,21
contradiction,19
cues,12
prince,132
lined,29
axis,22
hip,34
medium,71
airman,5
secretary-general,19
breech,1
transvaal,1
paved,7
yer,31
datarecorders,1
wakened,3
creation,109
alive,90
venturing,4
ai,87
diplomatists,1
nintendo,6
magisterium,2
lintel,3
cowslip,3
pounds,246
inhibiting,5
helped,154
helmut,9
marginal,47
jan-2,1
mens,6
unimprovable,1
scarlet,26
continent,30
firemen,14
filmed,8
undertakes,2
04,7
leaves,122
maggie,52
trouncing,1
delighted,73
poorer,21
livelier,1
catholics,16
empirical,29
palmer,21
highland,12
fairly,143
listener,8
chicago-born,1
sieves,4
6%,6
tribute,26
accusing,19
blankly,4
ernie,4
operator,34
mn,3
offline,10
gary,52
swiss,38
capability,15
mite,10
sealed,27
obscure,34
articulated,14
semantic,26
springing,4
dfw,1
twist-tree,1
autocracy,3
nervously,13
"2,000kg",1
understood,105
lend,20
witches,11
inform,43
ribbons,9
divided,93
17th-century,1
governed,29
drove,71
rule,206
effective,197
toothbrush,2
restriction,17
46,25
whisky,33
co,96
tab,8
cinnamon,8
loyalists,3
rovers,19
risley,4
truffle,1
grow,134
organic,47
post-1970,1
flowering,10
=,87
meredith,21
unregistered,9
depended,24
create,166
motherland,5
supersaturated,2
affect,116
collects,5
gav,7
tool,42
swell,14
shiny,14
juveniles,6
longed,9
rossendale,4
nome,8
socialism,35
maximum,119
hardship,15
welcomes,6
nbc,3
nuisance,21
furious,27
idol,8
sheen,7
analysed,39
antitrypsin,2
giotto,1
stairs,70
ranked,13
yorkshireman,4
acas,4
wears,20
jasmine,5
madame,20
swaddled,1
two-thirds,23
savage,27
set-up,7
properties,95
weaving,20
collar,22
spills,5
gum,4
insecure,6
ban,63
munich,15
16th,17
late-summer,1
3.2,10
freud,32
sermon,14
s.l.t.,2
kazakhstan,10
discursive,10
insulated,7
collected,73
predominantly,31
embarrassed,25
carlisle,14
coral,14
glass,200
ideological,42
6c,4
gozo,1
conviction,38
basement,21
skirt,33
reliable,52
hillsborough,5
domain,40
transported,16
playground,17
pink,70
radioactive,20
poet,33
pact,16
molesworth,1
failing,59
occurred,132
aristotelian,1
exciting,82
ogata,1
linguistics,13
hangover,4
gilt,8
jet,27
52,24
adenomas,1
file,135
11d.,1
larynx,3
animated,10
politicians,69
incorporating,11
reprehensible,2
critic,12
quaint,11
modules,49
kjp,1
newly-established,1
veterinary,17
beauties,4
criena,1
injections,5
domination,15
dearg,3
jos,3
truest,1
tigers,10
busacher,2
screaming,31
verdun,6
bullingdon,1
loaf,10
parallels,7
supplies,73
credulity,2
albums,10
filey,2
hiss,5
rows,52
rags,7
barry,44
prints,28
22-23,2
visiting,50
effectiveness,42
bogus,7
greet,14
riyals,1
catch-cropping,1
doogie,2
mosquitoes,5
agenda,49
guaranteed,49
basil,16
partly,119
camp,68
precious,36
curled,15
smyth,13
exercises,47
expense,63
1882,9
soot-blackened,1
overseas,104
measurement,30
parent,68
inflicted,11
potash,2
scandalous,3
top-down,4
alfonso,6
storm,59
killer,29
cain,4
warm-up,8
ultra,17
rat-1/c-myc-er,1
unprecedented,19
broughton-mcdonald,1
237,1
30-acre,1
indicate,89
long-term,82
fuck,30
30%,17
cantankerous,2
ladder,29
tree,110
8–10,2
retd,3
variance,17
paradise,24
perfectly,88
cough,11
wishes,51
muslims,14
deliver,38
pneumococcal,1
shrub,5
terminal,36
unwillingness,8
consultation,53
characteristic,68
ralph,24
reserved,32
haunt,5
8.4.5.14,1
stole,9
accountants,29
idealized,7
dispatched,9
anybody,89
restricting,13
congratulations,11
euphoria,8
clause,95
malice,4
dave,56
eea,5
opposing,18
economics,64
reductions,35
templars,4
aye,128
wengen,1
phrases,27
pancreatic,11
instructions,77
41,20
repetition,20
recall,66
neighbourhoods,8
detuning,1
reminder,28
holdings,20
plague,15
hopeless,14
tonne,6
th,94
alarming,11
12th,12
eminently,7
proudly,15
concoct,2
headships,1
bags,59
miraculously,4
obeying,2
pizzas,3
traumas,3
tuning,8
nuts,21
slant,3
actual,159
coaxing,2
knots,13
molluscs,5
sterling,42
warren,11
veteran,20
thorpe,5
pull,83
eventual,19
fim,2
surpass,2
postcranial,3
mooi,1
cockburn,5
mortality,53
sandwiches,20
explain,161
god-fearing,2
alexander,55
10–12,2
angel,24
write-offs,3
urban,114
slate,16
highlight,21
dole,14
prick,5
hanging,76
filtered,9
japan,145
everyday,43
shearer,8
"£23,000m",1
wallpapers,4
advanced,122
slogans,14
index,107
clearer,16
announcing,14
supporter,16
overtly,9
outwards,15
hubbell,1
rested,25
three-dimensional,14
inflammation,12
tired,79
evasion,4
jeeves,2
golda,1
disk,61
danzig-polish,1
air-washed,1
töpfer,1
agnes,12
blow,60
bomb,73
non-integrin,1
inviting,21
geology,15
expelled,11
unjustified,5
woods,37
hardly,185
pesach,1
detects,2
fleet,43
softly,56
annoyance,7
rising,98
underwired,1
deceives,2
hailes,1
procure,6
coherence,10
decades,48
hiya,1
arson,8
flatmate,1
waves,63
pimps,2
rolls,29
hervey,2
magistrala,1
resident,39
twitters,1
stereotypes,7
innovation,47
immune,28
shameless,1
nigerian,5
identifies,3
core,73
kids,94
ixtra,1
respite,11
2cms,1
overloads,1
anti-terrorist,2
mortuary,4
shirt,65
confidentiality,11
nutrients,13
supposed,123
spot,96
gower,13
calm,65
deductable,1
conjured,7
panoramic,3
kaufman,5
revealed,106
relying,12
redpath,3
unique,105
boiler,16
stiff-armed,1
sorting,19
bat,23
botanist,5
measurements,35
weapon,27
swami,1
develop,172
extended,124
1.9,4
lutyens,4
advent,14
guitars,18
decoy,2
amateurs,10
guidance,77
stuart,44
sanderson,1
addressed,55
twenty-six,13
implement,27
receptor,14
illegal,57
whotsits,1
muster,12
aylesbury,10
clover,3
alas,9
bgs,7
urges,8
farm,146
twisting,12
absurdly,6
thanked,15
clustering,7
extrordinary,1
parenting,8
transmission,34
mercy,20
skempton,1
lomax,6
newsletter,15
coefficient,10
flickering,12
obstructed,3
exocet,4
grandson,11
cray,6
hangar,7
federal,95
evesham,4
assault,49
"18,000",1
134,3
monitor,34
sophisticated,54
turmoil,9
dance,100
confronts,2
"23,24,25",1
1987,157
54,22
coherent,21
edinburgh,115
terminus,9
snobby,1
lands,37
shoulder,81
elles,1
separation,35
behavioural,15
deadly,18
dissolution,14
bullet,15
gordon,56
gallery,91
collaborators,6
vacancies,8
importing,6
guidelines,47
crane,16
enthusiasm,59
signifiers,2
shog,1
oau,3
residence,43
foiled,1
uninhibited,2
dinghy,9
politburo,13
20th,11
ma,27
juneau,1
kegan,1
expression,157
transfected,4
tribunals,8
calmed,3
indications,22
rebellion,24
tank,71
travellers,44
musician,9
macao,1
proteins,23
vijandran,1
wild,117
misrepresentations,2
unsolicited,6
unavailability,2
recommended,81
radiator,9
stickler,1
fitz,3
nikolaus,1
tip,61
contractions,6
plentiful,7
shaded,7
incompressible,1
miserly,2
apparatus,22
rang,47
skittle,1
weiske,1
recognision,1
tag,17
peoples,25
amazing,46
respondents,22
£12,9
self-assurance,3
covers,56
acquaintance,10
equatorial,2
accepted,209
restore,33
160,17
trainee,12
timetable,29
contributions,71
arise,73
origin,66
carpets,27
fe,16
prompted,32
jurassic,12
emotive,12
immensely,23
dawned,5
napalm,1
j.m.,2
zero-rated,2
petrol,52
tess,17
baghdad,10
y,93
suburbs,15
acrimony,2
mini-button,1
enlightened,8
helmet,13
flinging,3
unjust,5
minute,187
juda,1
whispering,14
wheelbarrow,7
visited,89
persia,6
37535,1
operations,126
forsyth,4
84%,2
takes,240
lashed,7
friedrich,4
"£3,393",1
dispatch,6
harshness,3
expecting,40
germinal,1
disulphide,2
delete,9
over-institutional,1
albany,7
ruling,63
daphne,6
hit-left,1
kozyrev,1
australia,112
disco,19
situationist,1
passion,55
mum,166
traffic,134
taxed,18
mcallister,15
allocated,39
buffer,9
votes,81
cabinet,140
causing,67
chalet,3
bear,126
linguistic,52
38,28
admiration,27
n.a.,1
ellen,26
markby,6
watt,18
6″,3
hurry,43
63(2),1
bend,32
callous,5
decomposed,1
henman,1
studio,54
contests,6
worldview,1
collapsing,11
undressed,5
dividing,15
freedoms,9
vividly,11
plaintiff,60
telegraphing,1
trimming,6
doctrine,43
bookbinding,1
bader,3
currie/animal,1
appointment,78
existed,54
tension,78
sectarian,11
summer,222
intelligent,38
accordionist,1
vulva,1
honoured,11
infected,19
4.6,9
129,5
banged,8
mood,62
radio/cassette,1
resembles,14
hague,12
attributes,25
pursuits,5
remarkable,73
circumstance,10
nathan,24
quintessentially,2
tide,44
forked,4
broker,15
abdelhamid,2
subtly,4
fury,21
registered,56
clarify,20
interviewed,29
fuselage,5
terminals,13
unpopular,9
signalled,13
rarely,85
gossip,22
esp,5
ecumenical,8
projectile,2
lawson,16
alternatively,34
mick,36
viscous,5
mickey,14
standardised,11
disagreement,19
deviancies,1
closure,37
crowded,23
colouring,9
manually,5
enlivened,1
estonia,10
sykes,6
45s,1
wuz,1
hook,36
hero,55
influenced,60
redistribution,14
jervis,2
sturminster,1
palaeozoic,5
56.7,1
cemetery,17
seés,1
inns,8
cobbold,2
executor,3
goibniu,1
gifts,34
offending,8
commen,1
benazir,4
jimmy,44
hilary,19
simples,1
hardie,1
daisy,14
statutory,88
1958,18
dismaying,3
frere,6
constructed,57
unreadable,5
addicted,8
anabolic,2
narmada,1
6–7.30,1
brutal,11
definitions,29
rationing,13
finish,91
trimmer,2
resemble,17
modernity,7
backwards,38
wickham,3
insolvent,4
encroaching,2
74/428:455,1
southall,5
jewry,5
widespread,73
regarding,42
reproduced,15
dreamed,22
delivering,19
manfully,4
kurd,1
romeo,7
misters,1
enjoy,131
admit,79
insultingly,1
pol,8
fragmentation,7
projected,22
breathed,22
appoint,24
saturday,178
detection,20
keyboard,30
staring,50
gynn,2
aside,77
vasculitis,1
fair,182
stumpy,4
disciple,4
murky,4
juice,38
gentleman,116
deflation,7
corridor,40
rna,14
fear,195
contributing,20
sundays,16
measured,69
fletcher,18
heinrich,4
poetry,56
well-founded,1
foes,3
define,48
u-21,1
acquired,75
phil,52
novell,17
hilton,11
update,23
patio,10
tightly,35
cenco,2
bought,176
battleships,2
smoke,86
preserved,48
random,45
imports,33
processes,118
751,1
lions,22
paintings,69
institution,99
divine,29
successive,36
unbelievable,8
swamp,5
owen,59
philosopher,21
eltham,3
over-riding,3
toys,27
mexican,23
telegram,7
office-workers,1
marie,33
francis,48
ebeneezer,1
disclosures,8
undergraduate,8
intimacy,18
smoothed,8
hampshire,31
sand-eels,1
meats,4
unflattering,2
wearing,110
realisation,18
rough,91
intimate,27
impaired,12
suggested,242
proportional,18
trucks,17
practices,97
drama,75
devolution,12
d'compress,1
blakesewn,1
decision-making,26
perished,4
metaphysical,8
togcs,1
runners-up,3
devote,18
lander,2
instance,188
settle,77
patches,19
hygiene,20
prison,147
reseller,5
jaw,23
aged,109
dice,7
worksheets,2
brunstane,1
nayar,2
loyal,31
lintels,2
talents,21
hurts,14
relating,82
cricket,74
volunteer,20
1.6%,1
copies,86
eight-thirty,1
hoc,8
rodeo,2
sustained,42
classwork,2
cowries,2
lime,20
confederation,8
logarithmic,5
bedclothes,4
hunt-the-thimble,1
guess,51
"10,000",32
tressler,1
diesel,27
patricia,14
interior,73
options,64
strike,127
ronson,1
sunderland,25
coup,43
gentics,1
familiarity,10
gwenellen,2
girder,1
fastener,3
honour,59
subfamily,3
hyde,12
digging,13
thank-you,2
faded,29
thirty-one,2
quarries,5
numbered,14
delight,41
terrorism,18
vowels,9
swung,42
upping,2
doubts,36
joan,44
closest,25
macpeake,1
expedition,25
sand-eel,2
full-length,4
charities,20
233–6,1
thomson,16
disincentive,3
naseby,3
japweed,1
avocados,1
drifted,25
ng/l,2
belts,18
deployment,20
naturally,78
cruise,20
→yeah,1
marathon,23
showcases,1
*******,1
warn,17
processors,6
solutions,56
goodfellas,1
drive-management,1
punishment,47
chanted,4
concentric,8
breaching,3
postpone,8
comprehension,10
magazine,106
kumara,1
appeals,34
somerville,2
involve,106
illustrations,20
tuesday,82
rabbit,30
finance,161
entails,7
1966–1976,1
quick,122
moderates,3
connell,4
proposes,8
aleppo,1
parishes,19
hilaire,4
minden,1
stitch,29
cdna,12
teece,1
lisbon,9
negligently,2
acquisitions,18
disputes,31
workmates,5
urgent,44
twenty-five,29
sustainable,19
mispricings,1
journalistic,4
giddens,2
julia,28
purveyances,1
leakey,3
represented,115
guiltily,2
jurisdictional,5
favourably,9
drafting,16
sympathetic,30
winners,56
cf.,11
recorders,8
"$1,626.7m",1
morabit,1
motions,22
innumerable,11
mobile,39
well-off,6
grachev,3
observations,38
300,52
teeny,3
incomplete,11
solubilized,1
dissident,12
welcome,127
sporadic,10
pacing,9
constitutional,72
passengers,57
moraine,2
macca,7
programmes,138
mrpl,1
decent,40
suite,49
marker,11
evangelically,1
airlines,21
champagne,38
diameter,27
wholesale,18
daughter-in-law,4
lotion,2
septic,2
prolog,1
wacc,13
reverend,14
obsessed,13
bind,15
involves,90
wretchedly,2
splendid,41
policeman,44
swallowing,8
flushed,19
broke,99
drawers,11
hakucho,1
heaven,44
prussian,10
crompton,4
pak,2
vessel,31
murdoch,6
curate,9
methylanthranilate,1
mistakes,46
enlisted,7
span,13
subdomains,1
buy-outs,2
torsion,5
beer,62
dramatically,31
exists,81
*negaso,1
ronni,9
roulette,1
racist,17
contended,9
ms,55
ware,6
130,9
affiliated,8
novelties,3
blake,21
nose,102
closes,16
climb,47
ei,1
expenditure,115
miss,275
graham,86
tncs,6
anc,24
sooner,34
issue-information,1
andrea,9
sphere,40
lawrence,41
habsburg,5
overlooking,22
sufficient,120
lifting,36
disproportionately,4
signifying,5
convenience,19
lighter,31
neutrons,3
aired,2
selecting,19
cigarettes,25
"617,007",1
disdainful,2
stands,71
coincide,13
alan,132
complain,28
clough,12
purple,26
writers,66
idealised,3
designated,33
gratification,5
waved,32
baths,16
"us$10,000",2
house-husband,1
syntactic,21
growing,190
blotted,2
winchmore,1
organisations,103
disestablished,1
masses,27
gunfire,4
monopolising,1
minoans,1
pacific,59
dust-misted,1
9000/400s,1
"360,000",1
capabilities,22
map,80
rhydd,1
unimportant,17
a.p.f,1
resigned,38
pine,18
provoked,26
indies,14
two-day,9
enclosing,8
romania,18
enhanced,47
hazardous,9
habitable,1
identity,90
violence,122
swing,39
guessing,8
petrel,1
formations,13
mogul,5
philosophy,64
frolic,2
castration,2
torrents,3
mankind,16
outlook,28
nell,8
delray,1
factored,1
angle,58
brick,35
suprema,1
complimented,4
architecture-compliant,1
doorstep,16
carslake,1
zulu,3
kraal,6
furthermore,67
orlando,3
divisions,40
walkman,5
inanimate,1
fantastic,19
spy,12
altho,1
indexes,12
giraffe,1
arguing,43
incubation,10
gather,37
hitler,33
hopeful,12
knock,48
ambulance,44
jaded,1
1–1,2
characterise,5
obtuse,3
tyrone,2
cystic,11
loud,55
complexity,38
30-year,2
rot,15
wea,9
journals,18
inconsiderate,1
likud,4
buyers,33
personally,71
weakly,6
leaned,53
photos,19
kenneth,31
protector,8
evident,52
commemorates,2
close-up,3
486sx,4
granted,91
erato,1
decay,24
asiatic,5
vascular,6
potassium,9
lyric,4
insincere,2
variation,63
solved,20
permit,36
spectacular,40
bombing,24
tibetorp,1
sq,16
retraced,4
upcurrents,1
piglings,1
reorganized,3
rosina,2
rm,4
aldershot,6
credit,160
secret,104
ha,77
1974,89
architects,24
mendeleev,1
prep',1
daring,20
dutchman,2
voids,3
long-lived,3
kambona,1
spending,132
£1.55,1
teaches,15
constituencies,16
premium,37
upset,63
melancholia,2
tyneside,11
fists,14
endeavour,11
conspiracy,20
salamander,2
incredible,27
un,100
drastically,6
ets,1
chapters,50
£340m,2
farther,10
shroud,1
gilbert,26
ridiculous,40
bubbled,4
portraits,22
1017,1
comfort,86
safe,118
nightmare,21
114,9
lambings,1
expectancy,15
chubby,3
jefferson,12
repeals,1
etonians,4
harriet,23
sovereign,27
organiser,14
islamic,26
w,73
structuralism,4
distinguished,50
crops,38
1.5,16
processor,26
sdrs,2
reduction,99
illustrated,61
kicked,30
remedy,41
context,159
break-ins,4
shapely,4
chs,2
one-quarter,5
republicans,9
coalition,58
non-party,3
cream,72
suicide,43
baywatch,1
gangs,15
cliques,2
nodded,104
motion,89
activists,28
vegetables,39
powers,126
warts,4
describe,107
pilasters,5
2mb,5
wore,58
wildlife,33
gawping,2
oppression,12
touching,22
delaney,8
paraiso,1
write,210
shipmate,1
dragons,7
root,39
milk,92
horizons,11
crush,14
£10.7m,2
promise,75
seb,8
bosses,8
allocation,40
onion,14
reluctance,18
tonic,6
nicely,14
recruits,16
datafiles,2
enhancement,7
mound,13
gardening,23
coi,1
loves,26
gall,32
capillary,5
everybody,132
pencil,19
simmons,10
cry,69
supercalc,3
airframe,4
abnormal,21
abrasive,6
experiments,60
platonic,1
millimetres,3
stuck,77
massacre,16
selby,12
dumbbells,1
ice-cracked,1
whispered,42
swallows,6
youngsters,41
buildings,142
shine,16
rent,64
niewiarowski,2
offsetting,2
incapable,17
answerable,6
scientology,1
intuition,9
"737,1–11",1
vermin,2
speculate,11
alps,13
cuellar,1
"£69,500",1
opinions,34
platform,42
opportunist,4
theoretically,15
monoski,1
muftilik,3
reward,38
clifford,13
uterus,5
bullets,16
informed,69
enjoys,14
biopsy,18
conform,22
affordable,10
nightfall,2
plant,188
serving,74
desert,47
transferring,16
2.,7
intellectuals,24
calor,3
program-to-program,2
thérèse,13
talked/written,1
classical,77
indirect,40
shower,30
£336,2
hardcore,3
cares,8
foster,37
malleable,1
expose,18
tax-free,4
deception,15
extraordinary,58
tray,38
fixation,5
fitness,38
spoor,1
brewery,17
sprayed,5
reflect,78
acquisition,44
bankers,20
presidential,36
under-19,1
preserve,38
namib,1
interrupting,2
farms,37
virus,26
poverty,70
cairns,6
barely,50
71/72,1
opencast,3
havoc,9
grey,94
país,1
flags,9
reconstructions,2
realism,21
logged,7
coded,6
poised,15
5.30,3
venue,23
nowadays,24
seventeen,33
cages,9
replaceable,1
betrayed,15
pennies,8
lading,6
bishops,21
