index,CHILDES_Count
things,1243
work,804
cow,868
riding,97
block,84
dirty,483
paper,753
shut,314
"""/.",829
later,552
cowboy,176
arms,197
bang,441
once,219
ham,63
he'd,96
mean,656
bumped,93
leaves,41
from,1417
part,203
james,241
bothered,56
track,244
yet,749
many,735
toy,356
hotter,12
called,818
robber_red,21
could've,7
mary_poppins,7
0have,292
book,1292
forgot,193
dad,306
emma,50
bella's,6
break,524
usually,123
ceam,2
lucky,184
ordinary,27
fold,72
books,349
anything,682
taking,344
room,720
we're,1036
licking,28
home,1146
sad,186
tins,88
waking,67
matter,623
flashing,14
stunts,2
rascal,35
blue,1475
fly,320
only,1098
cathy,505
ambulance,138
woody,11
named,37
proper,72
yuck,90
outside,613
loved,24
baa,117
fence,166
skirting,5
tiny,249
daddy's,671
hhh,372
marvelous,18
monday,65
wait,853
sposta,337
thing,802
shark,83
gone,2625
tin,170
toby's,15
playing,966
away,2146
hut,26
crying,424
thousand,12
man's,118
duck,551
boko,10
left,449
panda,382
hit,349
before,604
space,146
god,108
till,62
nine,340
he'll,305
granddad,117
bathtime,17
ella,157
might,982
pretty,455
watch,1071
ads,1
andy,234
tastes,30
grit,5
baloney,6
wet,396
saying,466
pig,531
climb,174
spots,83
honey,124
chairs,84
whale,202
sacks,29
nervous,7
choose,106
sheep,389
mouse,193
dream,59
sticker,81
sleep,1055
dinosaurs,63
lettuce,92
peculiar,13
board,138
half,334
comes,516
since,82
apple,493
least,41
°yeah°,21
long,695
hanger,3
monster,172
money,497
beds,65
mama,593
special,125
understand,87
old,465
underneath,115
magic,153
church,77
pingpong,5
plate,279
ball,726
chair,782
wine,50
yo,10
michelle,78
glasses,154
willn't,964
controller,10
neck,129
cream,221
bicycle,79
whole,191
goat,163
turn,1170
ringing,67
cock_a_doodle_doo,66
saw,494
cakes,118
amy's,326
ooo^ooo,1
driver,270
fall,1058
↗,1128
cub,6
moment,162
meet,33
as,1206
⁎now,2
minutes,230
done,1696
dippy_duck,13
high,170
dress,486
bow^wow,3
cars,555
louis,5
into,852
somewhere,303
amy,1246
train's,74
martin,28
blueberries,9
juggle,19
earring,23
friend,325
blanket,125
tickle,410
lend,6
mini,23
white,631
dogs,147
yourself,377
grapes,264
bought,357
plums,29
mess,203
darling,612
lions,71
tried,94
colors,220
rolling,101
building,242
golden,7
switches,3
honestly,71
summer,102
dance,139
pan,83
sore,186
screwdriver,50
lets,72
together,540
games,138
much,742
peas,138
lot,283
malta,23
glue,132
weren't,257
fraser's,37
rabbit,464
tomato,242
times,100
growing,42
tomorrow,246
yesterday,564
bash,121
tidying,48
oops_a_daisy,26
plane,191
torn,14
enough,701
those,2436
missus_mckeever,7
must,565
eve,405
porridge,44
oh_no,26
oooooooooooooh,1
tammy,13
first,1129
whenever,22
dolly,943
birthday,553
lego,143
clap,391
autumn,18
names,72
either,265
injury,2
brown,429
weather,42
seat,121
glug,32
sharp,87
roll,234
biting,43
knock,365
though,636
few,167
spoon,415
everytime,17
sand,135
uhuh,184
hole,408
stay,550
meals,5
kiss,322
hi,409
keep,808
driving,252
dinner's,14
so_that,99
wants,658
trains,209
boot,120
downstairs,223
mousie,10
digger,182
better,1617
cube,21
naughty,735
places,47
milkman,90
dominic,600
you'd,376
great,605
granny,166
strawberry,196
drive,428
carefully,55
tie,175
game,535
donna,81
celery,62
peter,203
taxi,33
daniel,41
water,1127
station,218
picture,666
grass,245
brokened,9
likes,313
pounds,101
ones,1011
self,35
coffee,324
far,195
still,714
scratch,64
mountain,28
somebody,425
ouch,316
she'd,108
swing,144
should,744
changed,78
cook,169
docter,1
monkey,794
brushed,32
socks,232
draw,908
breadsticks,6
hydrant,4
postman_pat,172
liz,291
as_well,954
pirate,24
fire,308
find,1801
irene,3
beep^beep,76
street,117
flip,10
babes,14
daddy'll,37
card,147
nee^naw^nee^naw,2
ba,46
0.,288
model,8
sailed,5
mobile,37
our,600
n↓um,2
broken,718
katie,54
i'd,270
firetruck,25
toby,113
bottle,370
open,1033
use,601
papers,16
humpty,42
rude,29
hop,102
restless,1
already,265
kid's,6
comfortable,27
brumm,258
rocket,41
dumper,32
week,430
chips,370
horse's,25
shute,3
wake,233
birdie,93
eeya,12
bramwell_brown,12
christmas,468
hair,1104
little_bear,13
funny,901
seem,76
e,225
shush,98
dogger,4
dolphins,11
sort,313
trapped,14
momma,51
squeak,63
puzzle,208
myself,188
next,1044
beard,53
horses,199
bricks,600
heave,3
sky,216
0is,132
besides,10
read,1059
kirsten,16
gillian,58
pooh_bear,76
tries,9
fun,258
today,1026
asking,62
sara,16
lara's,126
basket,304
bits,424
chocolate,334
they've,303
mark,44
pictures,323
bedtime,77
dada,118
watermelon,19
lay,82
dob,2
jumped,75
words,97
dongdong,1
fingers,334
point,87
quick,274
baba,467
sandwich,235
book°,1
even,385
flowed,2
