index,CHILDES_Count
on,50803
over,7546
it,111308
oh,63801
she,16514
down,13664
can't,10590
wasn't,1825
gorilla,78
it's,30631
know,16878
.,925570
woken,57
cry,592
paper,1607
well,17411
who,6038
yours,1612
that,81185
you,166477
blows,35
the,123810
or,5771
?,297166
block,194
we,31407
some,17016
willn't,2394
takes,261
head,2634
about,7023
one,44367
caught,341
a,103826
putting,1462
what's,18708
brrrm,83
can,27949
did,16917
for,19885
are,33109
make,8472
out,13338
dresses,48
‡,10315
lake,20
think,16271
shaking,63
wait,2043
there,52607
london,95
kent,202
trains,500
be,12572
",",52966
where's,8844
do,51439
pardon,3680
!,13775
aye,1165
big,10531
pictures,765
in,50030
seen,1172
faster,197
but,8733
you're,12858
said,3123
got,27664
look,23177
no,56792
him,9158
little,10360
cromer,566
/.,4463
see,18589
is,52966
perhaps,573
being,1286
put,25032
i,94677
cheat,40
funniest,14
sophie,142
paint,709
his,8241
he,28732
going,29038
carrots,228
tickle,990
shall,9234
this,38955
made,1687
just,13936
cromer's,66
like,23113
chocolate,741
face,1387
carriages,51
hole,862
dolphin,157
coloring,308
suppose,319
castle,384
house,5139
don't,30160
and,66689
video,262
yet,1686
to,60893
feel,580
fishie,124
of,17486
yeah,38741
more,8906
teeth,658
my,19398
these,7148
where,14779
want,19639
who's,4852
that's,38141
donna,180
small,894
fancy,137
adam,2206
suddenly,51
next,2339
other,5425
done,4076
locked,96
goes,4116
now,21150
help,2343
playing,2269
amy,3005
real,727
//.,4430
round,4231
have,28354
lion,1075
buy,1427
then,18002
tired,1361
nicole,2028
mm,929
what,59905
↗,2604
tractor,1263
before,1440
it'll,870
her,12427
times,243
coat,623
...,14334
legs,865
warren,1228
not,25638
whee,875
here,20419
clock,440
pull,1603
tiger,2941
uhhuh,4356
aren't,3742
∙hhh,339
funny,2166
salisbury,3
stop,2053
sarah,1978
mine,2643
run,1001
all,17953
bedroom,436
get,21426
tip,494
neenaw,347
bringing,167
huh,4264
holidays,155
wear,732
pink,1228
were,4452
was,14652
fingers,793
baby's,646
ring,491
with,19184
hafta,6662
usually,242
own,903
eat,5267
whenever,64
they'll,345
naughty,1758
started,352
bottle,928
yes,26286
milk,2041
nose,1978
ohoops,2
grapes,727
i'm,12662
leave,1588
them,15705
garden,764
marshall_hill_drive,2
isn't,10243
ursula,559
an,3903
ah,2295
color,2449
mummy,12715
come,13336
peekaboo,363
sweeties,305
very,8783
three,4460
alright,4803
seat,278
tail,684
bit,8518
hook,91
me,22547
gobbledygook,8
carl,2044
fit,2308
right,21012
getting,2922
wet,943
stuff,592
bits,970
go,31560
felt,106
didn't,6702
box,3158
mess,474
fifi,7
play,8423
airplane,321
been,2573
heart,123
walk,1104
fed,219
sandwich,633
two,10504
david,406
read,2453
tell,4109
than,1107
comes,1304
they,17517
wine,86
late,345
your,29523
tower,1157
take,6901
beard,89
mhm,10955
roads,63
grandpa's,100
else,4214
teletubbies,30
toy,742
throw,1590
fox,114
baby,7653
microphone,152
cold,1508
bone,188
cake,1938
books,755
different,1084
animals,1892
paul,937
riding,227
into,2015
door,2688
water,2601
swim,401
remember,2383
bleau,1
red,3639
here's,2737
draw,2053
d'you,211
child,251
say,6459
you've,6549
book,3025
awoh,90
walked,114
if,8631
pretend,1086
"""/.",2085
at,12847
bedtime,250
oh_dear,246
strange,128
again,7229
quiet,367
okay,12410
winnie_ther_pooh,90
girl,4726
would,4603
off,9694
what're,2796
baskets,20
so,10006
betty,58
song,665
mouth,1749
cat,2273
jigsaw,482
tissue,318
he's,11725
thomas,1672
picture,1542
hold,2043
wonder,604
hour,178
lobsters,3
fish,1865
comb,189
there's,11276
rabbit,1061
doesn't,5520
creche,45
hooray,839
i'll,6234
rid,109
actually,1259
dad,646
found,1344
she'll,598
its,698
postman's,3
arm,626
good,10715
why,9664
jolly,92
eaten,359
smell,237
brown,921
thank_you,4276
nice,5869
watching,466
car,7527
case,111
brick,550
heat,58
lunch,945
k,156
does,8718
garage,787
enough,1776
up,18879
whale,486
oops,416
when,7017
knees,179
write,1689
gets,695
four,2608
mean,1632
stuck,1994
lawn,28
amy's,757
open,2517
oatlands,17
could,3539
gums,22
duplo,370
home,2549
table,1763
because,10489
ten,979
baa_baa_blacksheep,3
i've,4499
broken,1924
clip,83
pie,417
plane,372
diandra,67
way,5545
man,4509
pulling,456
seconds,19
fell,1064
wanna,11158
there_you_go,42
daddy,7665
break,1269
shut,735
still,1754
organized,46
ruth,975
try,2095
train,4254
wee,4087
debbie,114
came,1349
daddy's,1671
tattoo,9
everybody,548
cows,644
pounds,247
pens,104
only,2736
blue,3525
matter,1529
beat,87
ripping,22
mend,340
lid,786
hey,3232
silly,1381
sitting,1600
girly,5
you'll,2454
doing,8766
green,3194
hat,2109
birthday,1358
coming,3153
told,982
tire,172
snap,378
which,3395
while,1091
finished,1971
ear,418
any,3940
icecream,1068
back,8609
ringing,108
closed,185
more_dadaw,307
matthew's,7
same,1357
listening,178
sewn,8
udders,23
bottom,1032
cats,340
better,3907
scarborough,10
morning,1540
wind_the_bobbin_up,10
liz,669
ever,911
too,6609
gorgeous,235
let,4171
cut,1686
bus,1061
ask,1043
having,2576
elephant,1579
gone,6312
armbands,40
our,1311
mommy,4147
babies,322
afterwards,101
use,1423
zebra,127
bad,884
cards,300
away,5131
pinga,99
mblumblee,5
potatoes,95
says,3018
farmer,308
catherine,175
bring,1849
puppys,74
news,34
„,13089
ma,69
fingernail,24
waiting,370
those,5573
miss_monkey,2
sorry,1820
fix,1142
park,763
louise,136
bull,334
gave,628
paul's,91
tree,1575
happened,2016
anne's,452
game,1199
always,893
trees,261
couple,395
drive,995
under,1664
turn,2896
need,4234
asleep,743
photos,82
toes,687
hot,1564
bobble,170
shh,154
doggy,478
teddy,1363
how,6808
happen,453
beep,496
↓darling,2
had,4469
dominic,1391
peeking,43
hair,2623
truck,1554
thought,1884
planes,27
keep,1891
hotel,70
missus,116
giraffes,111
raccoon,11
puff,48
knew,233
suitcase,152
likes,802
pan,226
kitty,244
will,6011
kick,501
ready,2367
noddy,236
doctor,723
things,2979
bacon,101
spitting,26
beach,435
suit,240
burned,27
building,566
bed,2925
shop,948
keeps,200
chips,923
another,7547
fraser,876
walkers,2
sing,1252
friday,253
tea,2616
clean,851
baby_bwight,2
time,3900
whoops,2106
whisper,24
policeman,133
ian,34
hidey,29
pour,322
cheese,1098
something,4108
breaked,22
grass,586
camera,449
answer,86
songs,149
night,1519
hippo,463
sit,5507
perfect,70
fall,2596
nana,794
miserable,40
mum,2094
find,4257
spoon,910
baba,1116
tears,51
tapioca,172
useta,518
laces,42
whisk,9
around,1189
tuck,104
hadta,561
