index,CHILDES_Count
juice,243
cry,118
tidied,6
saying,217
stand,280
connswater,2
afraid,47
cornflakes,12
°she's,1
airplane's,4
brought,106
standing,109
stool,34
children,173
fault,16
until,216
been,465
magic,77
washed,39
groceries,2
toy,136
bottom,196
farm,181
doesn't,950
abi's,22
dying,4
bunny,65
boy,692
even,188
exciting,22
downstairs,93
super,24
brown,163
ahhah,196
flop,4
pants,81
everything,175
fell,207
o,118
said⁎,1
drinking,44
flag,15
everywhere,40
fabulous,7
daddy's,314
lovely,373
somebody's,48
building,89
tucked,5
toby,65
greedy,25
hospital,73
seat,53
rice,14
oh_goodness,16
day,343
had,771
becky,251
snap,59
sticking,29
clothes,203
looks,281
never,292
caroline,263
squashed,13
knot,12
baba,221
race,40
looked,65
different,192
broke,172
tinkertoy,11
mistake,11
bring,333
noodle,6
robin,42
found,204
neither,7
she's,1076
helicopter,96
calm,25
holly,8
momma,30
aiken_drum,3
shower,26
riding,36
anna,292
0a,40
rings,36
na,4
a_lot_of,81
dogs,69
please,849
jimby's,1
one're,2
call,155
dry,119
an,657
andy's,25
dominic,265
first,439
gillian's,3
spill,30
definitely,27
pig,233
someone,56
tambourine,8
our,230
paper,298
sweets,35
shaun_the_sheep,4
short,26
open,433
start,166
locomotive,1
daddy'll,9
box,558
queen,22
grannys,4
look_it,9
bq,2
dressed,35
run,171
hey,566
show,404
that'll,89
hold,353
line,97
actually,238
cristopher's,1
hate,17
whales,13
teddybear,67
coloring,62
you'd,172
ask,216
friends,97
jess,25
cakes,52
lemon,58
grandpa's,13
took,166
stirring,3
dada,58
tonight,47
s,57
wants,272
shoes,290
swim,68
thumbs,3
nap,40
oy,54
debbie,26
you_see,49
build,229
faster,28
oh_dear,44
squishing,2
jason,35
rubbish,33
write,285
sack,12
max,4
thanks,77
pushing,42
w,15
wait,345
eaten,56
ne,9
soon,124
shaggy,2
pulled,32
went,495
shopping,188
birthday,209
dinner,317
don't↓,1
hasta,90
age,27
eve,180
sw,1
gown,13
dancing,80
fly,122
h,36
lamb,34
handle,23
full,87
we've,426
reverend_tim's,1
keep,353
pen,105
easier,40
silly,252
indeed,27
frightened,31
seen,216
pond,45
grandad,58
wow,143
horsie,311
might,393
kiss,152
clipped,2
edward,42
out_of,330
part,103
grandma's,32
fix,222
paid,14
tape,152
scared,40
baby's,87
grass,113
moon,67
doggie's,13
dormay,2
yesterday,222
patch,4
dizzy,15
yah,4
↗,433
piano,24
sort_of,30
leopard,5
truck,283
piggys,7
cow,348
asked,54
pudding,40
monkey,366
mouse,71
front,154
sky,84
jane,26
tops,13
draw,372
cutting,60
julie,19
getting,492
doctors,17
splash,36
usually,46
teeth,124
flowers,83
gorgeous,44
away,894
headache,6
bug,21
promises,1
sindy,9
together,233
discus,2
trains,77
yourself,135
leaves,17
party,137
awoh,20
quack,112
crash,162
grandma,73
cereal,24
as,502
bramwell_brown,3
vicky's,2
gretel,5
0have,136
tractor,210
°splash,1
same,233
knew,44
worse,14
yup,56
bricks,264
mine's,43
nibbles,2
blew,19
mother,85
aunt,13
starter,1
park,130
lunchtime,6
socks,89
elephants,30
hippo,70
climb,70
drive,196
star,69
cookies,22
close,105
hen,49
drawing,113
spells,14
alice,13
stuck,299
baa,43
ach,65
fraser'll,1
by,262
tower,191
asleep,145
kanga,7
pie,72
playgroup,80
childsname,88
yummy,90
comfy,22
thunderbirds,1
live,103
roll,100
color's,114
deep,11
prefer,9
brrmm,2
dustmen,8
winded,4
burnt,6
spiderman,3
pencil,169
horse's,15
chair,303
marie,19
poop^poop,9
knee,143
easy,83
smoke,37
through,246
card,45
lara_s_r,6
fluff,11
expecting,7
↑know,1
men,111
monsters,24
guess,75
e,93
inside,162
chip,26
shoe,107
pickle,17
almost,51
finished,374
candy,14
bye,196
leg,144
gently,52
picnic,75
swing,61
giraffe,154
should,259
dozen,8
kittycat,2
girls,82
slippery,4
grownups,2
tidy,53
warm,94
ring,100
window,158
under,291
nighttime,13
weather,21
you_know,241
tickle,168
reading,60
happy,176
zoo,117
rachel,80
drink,398
galloping,4
0was,7
bump,69
hungry,165
playing,432
jigsaw,93
couple,59
piggy,97
fishie,22
turn,509
°hhh°,5
silver,17
sunny,16
miss_farmer,3
trunk,24
towel,42
nearly,162
cushion,41
white,239
poo,89
flappy,1
ruth,181
curls,13
medium-size,1
makes,87
balloon,155
motorbike,21
count,94
field,120
push,256
lilili,1
poor,244
yours,288
how's,60
who's,845
each_other,23
how_about,12
tunnel,151
favorite,106
kitchen,146
as_well,398
crocodile,40
week's,2
eleven,45
pressing,7
dough,3
carolina,2
twelve,78
lock,29
wall,100
certainly,24
chips,175
drinks,28
rash,9
muddy,13
trolley,22
eva,22
ow,155
worried,11
humpty_dumpty,38
taller,19
knock,148
gasman's,1
cuckoo,2
farthing,1
shut,133
especially,16
picking,29
knitting,6
you_all,15
hadn't,41
throws,5
stubborn,2
broom,21
pan,36
nose,323
tobogganing,2
pet,77
thirsty,29
spider,91
oughtn't,2
whale,108
herself,19
works,48
shot,23
gregory,4
point,33
though,255
peekaboo,59
meat,52
perro,19
often,28
alone,59
page,152
sing,217
garden,128
dave,8
uh_boo,3
shoe_shoes,5
what'd,44
poorly,151
their,218
funny,390
'ant,1
tail,114
told,160
coffee,137
hard,221
tie,97
we're,400
determined,4
teapot,36
frying,3
after,295
cold,257
bee,51
summertime,2
somewhere,122
dress,212
∙hhh,67
de,12
da_ba_da_ba_doo,2
climbing,42
picked,33
stuff,102
dicky,3
roadrager,1
cranes,1
being,216
portrush,1
morning,271
jump,193
tshirt,37
of_course,26
useta,80
tells,18
biscuit,127
uhoh,133
aran,158
lean,10
nah,11
beg,9
nappie,70
else're,4
lives,57
cook,69
trees,46
doggie,173
without,59
except,18
wouldn't,195
skirt,17
cannot,5
breakfast,120
willie,9
mushroom,12
bike,125
bits,184
och,166
least,13
bees,15
ham,23
roundabout,23
fairy,18
enough,293
dribbling,10
nursery,131
dirty,178
feel,112
polished,1
geckos,2
↓tee°,1
rabbit,166
willn't,409
wrap,25
putting,283
believe,33
lower,3
peach,30
toe's,1
food,205
golf,5
0is,58
forget,61
boys',2
mr_red_man,1
letters,73
clap,160
jam,46
sun,87
carl's,38
bedroom,66
te,1
mean∇,1
biggest,63
glass,55
fine,73
new,275
pears,18
dig,23
flora,4
where'd,40
pot,38
asking,25
little_hippo,2
once,64
total,4
motor,38
bright,24
bend,24
ma,15
breaking,28
i_mean,82
score,2
dive,1
patterns,8
beds,28
tables,8
mary's,3
womb,2
tiny,123
piece,245
pram,105
hurts,68
grapes,134
join,14
march,28
o'clock,92
tire,29
n,53
celia,3
reach,105
looking,397
neenaw,60
caterpillar,31
choose,40
croissant,7
mammy,49
finding,21
wipe,102
top,436
yep,155
pepper,42
past,57
wont,4
accident,42
hoovering,11
anymore,53
pictures,156
catherine,29
mind,202
airplane,44
oh_boy,21
lion's,10
sheila,3
pick,207
husband,8
soup,111
turns,20
load,13
