index,CABNC_Count
eight,1158
david,421
parked,70
yellow,207
brian,122
seventh,30
lights,209
many,907
hypotenuse,11
hour,484
bye,621
each,398
gail,36
calling,54
brand,57
black,408
jim,241
wo,2153
object,35
dee,121
pump,26
bomb,38
phone,469
policeman,37
myself,417
embarrassing,33
building,171
every,836
bloody,1471
legs,168
matter,524
drivers,27
store,51
shake,24
help,512
rugby,68
nigel,71
mark,276
own,673
head,415
nightclub,1
keys,77
paper,537
gorgeous,84
sky,51
th,662
loads,232
carlisle,9
runs,57
working,445
n,1764
sliding,25
bad,922
take,2516
frosty,12
picked,187
toilet,142
effect,41
upstairs,297
pick,442
scratched,13
brother,160
clearing,25
encourage,20
salad,99
bag,347
faithfully,4
whole,455
chaffinch,10
hours,388
stick,245
nearly,375
lorry,50
properly,174
heard,524
talking,750
effectively,3
mind,1305
f,117
soaps,12
load,177
learning,64
yorkshire,29
themselves,116
middle,300
need,1526
illustration,7
minus,306
yep,386
park,277
respect,25
stone,90
wherever,60
huh,147
q,24
tha,176
big'un,4
music,210
te,32
darts,23
romantic,7
door,1030
fancy,178
burning,58
window,312
second,415
friday,490
pet,43
adam,60
trained,31
teacher,135
previous,29
shocked,14
merry,18
pair,248
value,60
alone,119
already,402
string,31
perhaps,618
extra,210
thirty,1028
always,1462
side,852
warm,233
bother,239
thorpeness,4
motherfuckers,2
shyster,1
heating,143
bridge,118
lend,39
wheelchair,8
disappeared,34
concentrating,14
ask,756
pulled,115
crispy,9
station,143
panel,20
cars,211
outside,462
married,207
kiss,114
film,196
name,684
great,571
against,154
terrible,245
person,280
cross,153
sacramental,2
tracy,30
lucky,181
difference,219
until,432
watch,593
ice,89
white,520
apparently,238
worth,327
enough,860
before,1659
stand,322
voucher,25
standing,125
general,77
people,2399
blew,23
bingley,4
carefully,34
clothes,168
cooker,87
shape,76
corn,34
bird,83
public,43
ba,111
try,835
playing,395
cake,257
healed,3
hold,456
factory,59
looked,565
records,47
brown,128
anybody,411
escaping,2
equations,8
consultations,6
most,481
stops,39
seen,974
shown,42
kerb,8
refreshments,4
inches,50
speaking,87
parents,98
such,373
ought,303
committee,57
thinner,10
double,246
gravy,57
mortgage,160
sheffield,12
chest,86
sentence,8
finishes,24
anything,1587
used,1612
seeing,156
wall,274
eat,705
safely,11
sunday,531
ones,959
boring,135
depends,197
lou,26
chips,159
till,627
feel,741
discussion,33
phoning,35
suddenly,91
pint,82
chris,340
super-duper,2
june,183
ago,576
trouble,408
carlos,3
bobby,94
through,1296
