norm,BNC_5_7m_Count
of,154418
week,1610
customers,372
couple,575
have,23394
still,3651
‘,38875
and,134330
mellion,1
they,21471
figures,588
’,38020
are,23549
.,239827
chapter,778
keep,1404
mm/hr,1
delicious,65
to,131696
tries,92
said,9856
up,10457
's,40073
rules,567
in,98177
national,1920
at,26798
you,33924
jennifer,36
billy,106
was,44800
there,16134
final,832
wishing,88
erm,3169
end,2382
the,307907
factor,321
if,13052
she,17965
had,21506
entertainment,91
i,44304
from,21644
completely,411
able,1551
it,53793
class,956
that,57248
faster,172
modernization,17
senator,46
agreement,642
reason,907
would,12302
menu,90
programme,1016
asked,1553
health,1213
take,3552
andersen,10
tachistoscopic,3
probably,1321
manager,750
mistaken,68
rock,348
try,1056
we,17906
a,111034
paul,565
people,6109
published,527
muddy,21
those,4457
good,4119
part,2711
do,13741
my,7427
stares,11
across,1223
for,44803
father,1118
who,10147
memory,389
all,14107
over,6706
including,1221
taxi,76
closely,269
",",255451
examination,212
stitches,42
an,17324
down,4653
considerable,480
palace,252
get,4895
line,1188
open,1449
is,50679
different,2467
£2,35
—,13932
doing,1440
local,2419
he,32473
formation,199
laurance,5
profit,317
camera,124
xs,4
under-secretaries,2
per,2810
moore,77
than,7476
when,10699
this,22905
shame,86
race,353
everyone,664
!,7367
two,7804
non-handicapped,2
montagne,8
paths,70
labour,1400
his,20937
activity,592
but,22558
number,2541
pricing,56
picture,593
fossils,36
very,6133
once,1883
doubt,583
),20038
young,1680
prescribed,68
virtual,43
topic,131
inconvenient,16
as,33503
blood,487
bring,762
brave,92
positive,434
(,19782
could,8247
be,33188
english,1073
by,26221
arms,559
however,2980
gripping,22
amount,784
hungry,83
crabb,6
little,3124
proceed,98
cr,11
subject,1129
on,36985
her,15569
chris,219
think,4573
acknowledge,73
mentioned,376
eased,37
detected,74
cheered,28
year,3721
developed,612
royal,754
bathing,28
necessarily,302
engineered,18
commands,42
can,11843
bush,169
1985,339
construction,313
why,2543
planting,67
place,2416
provided,855
question,1237
expect,489
going,3223
power,1621
officials,355
thither,3
well-known,85
need,2814
because,4996
unfortunately,212
er,4512
pp.,299
grupo,4
recently,598
aspects,366
15,580
annexe,9
money,1874
2-hydroxyethyldithiocarbamate,1
charter,115
permission,146
block,205
attended,184
well,7204
faint,84
lead,746
've,4409
flexible,128
light,1143
organizing,28
focus,298
reminded,87
technology,618
june,705
own,3490
may,6372
against,2776
?,19923
lift,233
party,2017
course,2670
hall,608
dentists,15
8¼,1
or,18749
say,3329
;,10346
many,4511
liverpool,305
rhaetian,1
evolutionary,46
yet,1622
twin,122
held,1472
into,8041
agreements,150
s95,1
wear,258
came,2293
"""",7354
were,15976
see,5895
