norm,BNC_5_7m_Count
0793-514514,1
beirut,40
paper,839
believes,202
colour,606
temperature,206
turtles,10
something,2560
constitutes,43
dome,34
hypertension,16
woman,1154
lives,570
phytoplankton,5
exceptional,79
make,3923
drives,79
list,673
boer,4
want,2783
lab,35
animal,320
change,1622
holding,408
analysis,668
too,3392
champions,80
flat,470
john,1636
reproduction,54
puppy,20
al,216
come,3333
vertically,15
remarked,81
hurtarte,1
wales,488
mrs,931
devastation,15
experiences,159
changing,321
much,4625
1916,32
compared,470
magnus,9
trying,904
civilian,70
katrine,1
face,1703
some,8536
which,18507
non-insulin,2
simple,749
station,489
years,4545
green,735
**altered,4
bates,31
help,1859
eyes,1373
main,1243
taken,1789
with,33296
n't,16115
what,12108
packers,7
your,6933
few,2191
world,2883
yourself,506
nudity,4
him,7771
nowhere,119
like,7597
anonymous,57
inc,298
wheeled,18
although,2154
mr.,718
share,648
captain,274
thing,1690
surprise,261
speed,361
oddly,37
life,2836
just,6411
so,12089
show,1351
should,5481
quickly,598
jurisprudence,5
spoken,175
park,603
before,4302
pushed,254
skirts,31
better,1779
emphasised,51
me,6785
pensioner,28
21,280
now,7141
side,1706
does,3331
london,1747
day,3128
adolescents,19
beauty,205
asking,323
utterly,69
bristol,141
scores,98
mask,71
dad,351
central,953
started,833
gaze,104
told,1831
'd,3152
forms,600
innovative,50
same,3238
inexperienced,20
creole,35
darlington,299
meteor,9
appearance,264
youth,257
ordered,243
government,3121
influence,497
running,735
level,1349
predictably,21
turned,1166
major,1439
real,1172
sold,401
give,2256
mercats,1
way,4962
ouch,8
dared,33
port,186
best,1783
rose,520
their,12959
hear,680
done,1701
k,136
nor,590
punishing,13
november,444
small,2114
floated,32
stream,98
work,4638
watching,334
heavy,459
enter,258
defect,47
went,2286
did,6752
ring,354
reasons,564
two-dimensional,19
fact,1840
new,6153
am,1293
responsible,451
peaches,10
more,10739
orkney,45
without,2205
crash,113
range,1049
likes,149
middle,638
protein,153
learners,40
public,1962
any,6171
flyer,12
products,534
offer,763
extend,160
wierdsma,1
bitumen,5
weak,165
himself,1439
5,916
plenty,230
lord,800
surveyors,27
peter,639
glared,31
p.,762
every,1962
choir-boy,1
join,372
record,731
temperaments,3
splashing,15
nil,46
know,6027
ran,403
road,1340
dhss,27
distance,292
not,22930
foundation,220
fossil,47
r.a.f.,1
back,4933
flint,25
food,948
plays,152
far,2005
proximity,31
dr,535
exile,53
routes,90
start,1246
must,3607
itself,1170
being,4362
fatal,76
inevitably,164
bombs,64
homes,297
agent,227
wondered,217
powder,78
wish,584
united,1019
president,890
prosperity,50
since,2562
forestry,47
northern,559
1920s,54
50g/2oz,4
oxford,463
personal,860
reflected,185
proved,358
duffer,3
attempting,113
yeah,4125
variety,420
allow,573
1955,57
developing,333
after,5797
move,987
important,1949
a.,160
out,9998
practical,371
hobby,32
ask,985
okay,603
belvedere,10
quilt,11
knee,105
alkaline,24
consisting,76
tony,245
brief,302
feelings,265
where,5557
discarded,42
apparently,372
basis,710
care,1206
mississippi,10
large,1783
information,1918
conservative,393
waterfowl,10
has,13009
joined,362
occasions,158
hoses,4
historicity,6
championship,180
happens,303
1979,258
briskly,22
demand,589
acquires,9
control,1403
undoers,1
four,2331
union,904
language,942
wound,99
cheap,222
observers,89
dull,110
informal,117
special,1101
"£80,000–120,000",1
places,509
petal,7
feminism,51
no,11569
high,2017
only,7511
30,579
apart,487
believe,996
hands,904
combustible,5
offence,181
d,426
silent,169
markowitz,3
husbands,42
breathing,119
necessary,924
contact,498
enclosed,75
gave,1124
conformity,18
love,1163
highest,257
knowledge,701
cards,196
school,1894
support,1523
joke,120
northumberland,39
prohibited,43
consolidated,42
tax,861
first,6042
having,1791
environmental,472
integration,139
types,464
set,2271
might,3008
its,8335
cool,192
verse,80
deliveries,32
disease,479
bridge,317
award,799
archbishop,87
officer,474
holidays,146
entire,258
mummy,127
car,1404
powell,52
secretaries,42
literature,242
20,669
largely,372
dependent,202
days,1644
collapse,151
[,1703
during,2213
rearranged,12
formal,296
students,724
sort,1345
experience,1066
together,1498
liability,222
earlier,843
lecture,93
hopefuls,4
been,13289
will,12676
taking,1132
kidlington,6
workers,700
applicable,76
challenges,62
object,301
remarkably,65
targon,1
toffs,1
hoped,264
relationship,632
monopoly,68
mm,1791
enquiring,13
invariably,87
"£8,500",1
eglantine,2
around,2244
wings,125
downwards,32
examinations,83
front-runner,6
effects,580
material,675
planes,49
curve,122
win,545
other,7915
robert,429
catering,102
opinion,367
colonel,95
imposed,161
frenchwoman,4
even,4578
three,4069
aragon,8
widened,41
masterminded,4
nan,30
evil,140
deep,490
chorus/mix,1
such,5529
play,1138
screen,274
potential,513
hat,154
behind,1163
georgiades,10
book,1238
cavagna,2
community,1218
proposals,384
martin,263
these,6405
writing,540
antiquarian,11
towns,226
convenient,111
within,2357
one,15129
california,127
're,4110
white,1213
extremely,340
45/94,1
slippery-bodied,1
site,552
associated,468
maria,106
michelle,22
yesterday,946
ago,973
through,4205
giggle,8
4,1012
seconds,205
ca,1585
uhum,3
flower,127
things,2025
dealing,297
lived,399
fell,490
system,2210
sought,274
c.itoh,1
swept,99
1983,305
stomach,163
1942,36
asia,145
criticizing,12
module,178
standard,658
western,471
quote,69
insurance,372
lawns,19
dress,251
then,7812
man,2947
partners,200
healthy,187
near,911
here,3498
privately,76
employed,232
singing,166
how,5039
voicing,8
walked,429
1,1942
polythene,15
markets,263
private,876
centre,1151
today,1287
andrew,210
arrived,415
water,1764
preservation,61
act,1416
signed,283
while,2825
used,3428
glorious,48
indeed,915
intends,52
drinks,118
kissing,29
originally,228
exchange,445
never,2674
phyla,3
sense,1059
north,1054
region,520
learning,469
leaving,493
project,757
upper,266
kami,1
bits,171
caddie,11
following,1424
caroline,92
'll,3635
malta,36
narrow,215
cheaper,116
allocate,26
career,398
circulation,85
also,6243
chemically,13
ineffective,27
friends,734
existence,321
home,2544
actually,1306
reuter,27
aware,518
house,2495
positions,192
annual,380
60,196
inter-city,5
members,1433
hair,725
rustle,11
sortie,5
privileged,60
killed,425
children,2361
led,822
boilermakers,3
head,1809
confirms,35
stop,749
medicine,131
basic,561
echoed,53
bias,68
13,386
herself,870
underlines,15
uncertain,95
nothing,1629
another,2981
hours,989
attractions,49
table,989
motaball,1
database,160
collapsed,89
interpretation,205
100,338
stephenson,18
rushed,65
output,315
gunshots,2
already,1652
made,4746
exceptions,88
thus,1038
presents,130
roses,66
wanted,1107
introduction,327
session,226
2.06,2
amendments,52
common,1029
bubo,2
delivery,193
effie,2
pelagic,3
particular,1476
:,13125
seller,100
towards,1400
war,1385
britain,1363
past,1316
beginnings,27
],1736
among,1118
widths,9
most,4922
seek,267
television,480
operation,504
whole,1534
mystery,108
nations,225
arrival,171
slowly,363
coast,235
using,1191
patissier,1
sent,631
religious,326
content,328
thoroughly,112
defence,612
go,4354
name,1303
julie,86
licensing,57
put,2967
annually,65
swift,75
look,2732
industry,1001
big,1226
pound,386
hapless,7
comprises,47
six,1531
tests,264
employment,567
remember,962
views,356
expensive,290
found,2466
says,1942
bit,1369
prop,20
soon,1020
city,1207
structure,691
attached,159
β-,4
tanned,22
gabba,2
1990,807
awareness,174
concern,546
magnum,11
tackle,110
smith,397
process,1154
cleaning,113
morton,36
advances,69
arising,117
kennel,10
development,1732
crop,110
players,385
parish,218
fall,539
art,782
whom,665
involved,952
ways,731
climbed,120
right,4611
again,2884
allowed,633
regard,299
replied,239
irish,312
jolted,8
between,4572
gaps,51
breach,162
nominated,52
pub,185
decision,855
problem,1419
gesticulated,1
cloth,92
sweden,82
hole,194
prepare,164
matter,1146
upon,1153
combined,210
preparing,146
news,696
association,615
husband,573
coupon,27
0.5,27
william,396
numbers,575
deadline,47
dragging,29
top,1277
lose,357
military,572
find,2103
time,7823
industrialised,18
hang,170
maurice,62
committees,156
study,1074
objects,232
long,2873
supported,314
fountain,28
usa,258
stewart,112
armed,273
rescue,109
pay,1114
500,136
restructured,11
emburey,7
demands,300
property,664
straightened,24
teleworkers,1
tenor,18
ten,1000
lee,209
wheat,41
five,2077
whether,1787
sites,288
launch,179
clients,261
finished,419
them,8411
revolutionary,130
zia,4
capacity,278
lifetime,67
multitude,30
incur,19
moving,491
our,4663
duffy,14
sectors,116
mr,2642
wall,570
scale,400
released,280
occur,256
…,3894
farrell,10
therefore,1154
under,3080
ed,89
office,1229
fort,47
pursuing,48
profession,142
beginning,605
family,1686
increasingly,325
seat,315
concludes,41
vital,240
attlee,28
44,68
usually,948
taped,24
suggests,334
charles,425
agencies,169
statistical,106
sierra,32
direction,440
beneath,268
peace,414
afternoon,413
bolsheviks,16
enemy,163
lies,294
q,83
critical,292
tyll,1
objected,35
needles,44
stripe,8
working,1471
thailand,38
edging,12
cases,939
safety,423
8,530
until,2039
recognises,32
tell,1477
reviewing,32
about,9894
fought,159
staff,1169
third,1018
bonaparte,3
reports,551
freely,63
ncr,24
girl,691
activities,585
paige,22
jobs,500
punishments,17
donna,58
york,453
ball,344
freckled,8
trade,1010
26,206
closing,124
progress,409
began,1195
door,1109
elizabeth,186
/a/,6
form,1790
pioneered,19
groups,1009
arrives,46
ex-mayor,1
model,712
formula,122
permanent,227
works,694
allegedly,50
settling,41
opposition,441
dropping,55
listening,208
amazonia,4
cruised,11
facing,207
performs,26
declining,69
j,187
receives,63
away,2432
28,257
submission,53
responsibilities,147
receive,384
falling,220
cities,220
role,871
rather,2217
villages,143
active,355
sarb,3
disaster,137
order,1774
costs,776
travel,367
contend,25
controlled,223
fuel,224
million,1290
compulsory,95
forty,317
degrees,178
competent,59
hammersmith,17
richard,513
land,1053
election,467
maybe,511
booking,63
memorabilia,6
self,207
effect,1197
78,32
relations,573
-0.17,1
outline,105
remained,401
latest,318
sue,123
understanding,500
hand,1738
point,2067
judge,341
please,701
functions,274
talk,797
candidate,199
benefits,384
event,520
stranded,17
dismissed,151
parliament,517
mineolas,1
human,973
organized,129
assistants,31
smoking,156
improvements,131
tore,36
sank,48
stuffing,10
felt,1336
encouraged,239
kansas,20
us-russian,1
stages,204
'cos,16
guides,44
leaning,72
entrance,140
7/37,1
estate,261
perhaps,1683
mental,281
uk,870
company,2034
cup,581
derby,86
novel,214
hundred,897
difficult,1097
problems,1307
unseen,24
forgotten,193
bad,754
ka-prap,1
debate,337
applications,323
runs,274
concerned,866
enthusiastic,65
distinctive,113
short,974
women,1974
base,501
piloting,7
rumoured,15
steeplechasers,1
accounting,160
release,322
discourse,116
amazed,66
tend,310
cross,362
mean,2132
deletion,26
suitable,306
exhaustion,28
galadriel,4
spoil,42
zipper,4
notes,311
seel,2
lie,259
vocational,56
doubted,33
makes,875
susceptible,36
shade,57
ridge,60
sitting,447
parents,790
account,823
throats,13
population,730
shut,233
federalism,12
lotus,62
ellis,49
except,531
voice,1189
devon,57
mission,126
rest,741
meadows,23
savings,141
caused,499
soviet,605
leisure,147
paris,287
territorial,54
investigations,81
sheffield,108
worry,309
address,345
prices,547
120,61
close,1013
decade,188
lurking,21
inner,216
feared,106
paired,25
unusual,218
greener,6
wow,25
word,958
breath,250
shildon,13
ah,508
merchantable,4
faither-in-law,1
picard,4
ticket,112
bunch,57
wheeler,30
late,1017
worthwhile,61
de,702
agency,279
men,1906
manners,44
zone,131
adjacent,74
required,822
mark,613
honours,71
winding,60
sand,143
serious,594
charges,320
missionary,24
chronicle,24
issue,858
hope,839
cent,1891
restricted,151
funds,342
wardrobe,47
predicted,89
races,91
19670,1
protected,139
clohessey,1
investment,522
cheating,20
easily,476
opening,382
radio,435
woodlands,25
section,958
truth,431
regime,182
ceratites,1
decisions,433
ones,567
society,1248
financially,33
police,1384
international,1152
certain,1124
requests,56
welcomed,115
succinctly,10
idea,1078
modern,639
1895–1980,1
along,1214
johnson,163
classic,184
almost,1511
papilla,6
driver,281
reaped,8
lot,1496
tonight,330
inflation,232
owner,239
curtain,59
applicants,66
weighed,42
bands,123
o,296
storage,160
view,1306
taught,212
containing,212
c,868
showing,348
older,457
cashed,5
series,728
bravely,22
authority,913
publisher,79
poor,752
challenge,318
pressures,106
developments,263
video,339
press,654
realization,29
clearly,753
sit,410
gas,341
got,4542
death,1040
built,628
polyester,19
lower,649
breeze,62
crucial,228
great,2331
independent,543
',2380
strums,1
eight,885
census,48
exercise,461
transitional,41
outcome,184
le,153
flash,67
zimbabwe,24
funded,71
1973,132
crying,90
token,34
often,1901
extinct,24
request,252
library,380
toothbrushes,6
attempts,281
partnerships,36
barbs,12
acci-hindiii,1
judgement,109
category,172
kill,221
points,732
derived,168
either,1402
feline,5
short-term,76
despite,716
£700,8
fabia,18
theatre,297
struck,193
averaging,15
horse,371
making,1346
weakened,40
remarks,112
commentator,14
creating,192
hell,297
ensure,483
tomato,41
last,3839
episode,72
+,140
intricate,21
chains,71
accommodation,210
court,1395
economic,1217
tourists,81
pollution,220
taller,30
lines,512
coming,948
cold,616
s,490
incidents,75
oh,3433
gravel,62
management,1067
street,912
college,515
crowd,213
job,1119
full,1484
institutions,323
girls,495
peasants,87
kop,9
present,1318
sylvia,31
script,60
box,423
traditional,474
confident,157
tribune,14
happen,435
device,139
functioning,57
wipe,34
requirements,285
scanners,8
us,3754
march,795
oxfordshire,110
acres,73
talked,217
partnership,178
belt,114
extension,194
distinctiveness,10
mind,1399
train,402
general,1873
kong,148
grove,50
satisfaction,138
banker,26
self-fertile,1
mike,228
outstanding,141
refer,176
persuade,113
spoke,341
fostering,13
craftsmen,38
cultivated,35
future,1115
smolensk,7
molly,44
£370,2
darkness,146
ever,1362
ethical,56
likely,1158
market,1540
balance,451
adequately,53
gs2,1
needing,45
randall,15
audits,9
90pc,2
services,1229
stresses,58
books,634
1″,3
1600–1840,1
blown,60
thought,2662
throbbed,2
ceramics,24
widely,301
m7b5,1
lynn,31
balcony,41
included,627
painting,193
troupe,8
lean,57
collecting,106
playa,3
else,1027
reached,579
called,1612
available,1389
trust,502
hot,444
displaced,32
1790s,9
ebb,10
age-sex,2
providing,403
european,1007
vest,13
toes,44
principal,230
previous,603
needs,1014
variations,115
resulted,153
columns,107
off,3597
clinch,13
longer,822
vote,344
unsuccessful,51
less,1978
chief,582
left,2266
butts,6
claims,477
chose,116
term,593
relatively,377
halswelle,1
fist,53
policy,1307
goes,769
sacking,17
displays,102
express,238
equipped,76
disrespect,5
civil,429
debated,41
gwrach-y-rhibyn,1
daisies,13
replace,180
patients,927
sub-committee,15
related,460
170c/325f/gas,1
aimed,176
statements,207
cumbernauld,8
realized,165
mo,26
really,2332
hendon,6
friend,824
strainers,1
invisible,66
closed,470
oysters,9
minister,1223
division,493
ninety,194
efficiency,180
steyr,1
light-hearted,9
ideas,537
believed,437
experiment,153
1989,677
equipment,430
spain,218
everything,970
accessible,86
munificent,1
rents,34
outside,1130
similarly,225
"25,000",15
passing,257
cut,866
lights,204
adversely,18
catholic,184
tips,53
quite,1975
opener,16
contemporary,226
1972,143
winner,151
user,312
state,2027
possible,1727
use,3221
handling,165
girlfriend,67
strong,805
philippe,13
university,849
anticipated,96
accordance,119
sides,300
democracy,192
managed,387
divisional,47
feel,1333
slowest,2
month,761
text,367
roque,3
lunch,263
bicester,9
craftspeople,2
integer,8
alerted,29
patriotic,32
possibility,372
crimes,96
venloer,1
sloppily,3
round,1508
cuéllar,10
1992,519
description,257
bmp-2,3
period,1225
success,678
advantage,379
letters,433
assessment,352
occupational,88
comes,841
transplantation,11
stores,104
mill,180
sole,106
option,282
soil,221
announced,522
raising,153
threw,147
second,2032
issues,610
districts,91
hot-spot,5
manufactured,51
muscle,97
computers,184
software,493
erstwhile,12
non-dollar,1
survived,144
reach,410
hammered,17
guitarist,37
removed,255
reminding,26
princess,112
gpc,2
proportion,318
changed,577
colchester,29
female,386
road-,1
story,664
edwardian,19
roger,140
nature,903
federally,4
washing,134
doubled,67
feed-and-expansion,2
versa,28
thinks,191
enjoyable,50
hirn,1
conservative/labour,1
£70,13
previously,326
promotions,22
refused,329
manual,103
carrier,50
windows,447
tourism,77
carbonate,22
murder,320
season,549
lambda,2
episodes,46
deputy,201
schubert,4
become,1428
signature,42
space,623
operates,75
$5.5m,2
holiday,377
shama,3
changes,1016
roam,13
sean,54
scene,353
guitar,127
eleventh,33
continue,596
administer,28
difficulty,305
deterrent,38
magic,165
distant,130
priest,108
revision,49
discovered,347
further,1882
coat,153
appointed,344
pensioners,73
happened,667
closeness,23
extensively,58
journalists,97
farming,129
former,922
backplane,2
spaces,78
paying,233
runway,26
localized,9
enough,1552
alongside,167
obviously,514
shall,984
promptly,60
window,523
pickup,14
1941,35
re-evaluate,2
heaves,3
unpublished,20
revolution,243
cnn,3
3,1307
semi,16
mysteriously,17
thinkers,14
walker,131
prove,264
loup,2
prime,641
due,810
imminent,56
marcus,45
eye,471
v,510
dc,97
includes,352
38101,1
museum,357
sometimes,971
team,955
governments,233
original,552
cash,441
actions,236
hurried,58
embedding,7
pray,79
improving,125
argument,409
alfred,63
efforts,278
regulation,129
law,1349
entirely,334
lawyers,134
three-,7
arts,278
cracked,48
identical,110
intend,114
letting,108
i.,69
bleak,44
took,1870
reaction,277
hamilton,62
symphony,46
tooth,41
pain,338
montaigne,4
obvious,415
down-payment,2
pinched,19
alright,446
domesticated,13
paid,745
shrinking,12
sure,1230
succeeding,33
conveniently,24
opacity,6
narcosis,1
twelve-item,1
undertaking,90
matt,55
marriage,359
coal,262
gone,918
blessed,51
happy,597
counter-mines,1
worrying,64
finest,75
patterns,275
injected,20
entitled,253
etc.,132
leith,47
adams,51
daily,392
recalled,99
mountain,202
selvey,2
hypothetical,27
water-users,1
cottage,166
tribes,37
dock,67
buckingham,45
clears,11
"£280,000",1
boasting,6
conversion,91
produced,652
approximately,138
pace,173
sugar,197
based,932
german,588
holtzapffel,1
grew,207
morning,992
specimens,70
deleted,24
provides,428
throughout,639
terms,1370
gloat,3
eyesight,12
south,1204
aircraft,299
species,479
body,1193
action,1066
treatment,605
spence,15
business,1710
causation,19
r&d,52
night,1819
inverkirkaig,1
individually,61
result,1148
century,1072
boats,71
ros,40
distinction,217
factory,213
needed,841
homeland,26
added,774
sharp,243
route,298
groinal,1
risk,614
tom,261
grilles,7
uncached,1
shares,460
rich,344
systems,880
f,216
isabelle,6
records,393
return,926
seed,63
arrange,113
receipt,77
elements,297
service,1551
smiled,337
continental,87
skills,428
firm,595
district,392
olivetti,16
directors,229
disappearing,28
though,2172
pair,316
drinking,156
argued,307
irrespective,41
northeast,10
known,1240
aek,1
susan,105
killers,28
research,1378
chromosome,12
khashinke,1
brief-,1
unwilling,60
identification,113
johns,24
accusations,32
appetite,41
mad,146
model-based,1
£39.99,3
value,860
save,391
frequent,118
private-school,1
matic,1
names,392
sources,342
knew,1234
1991,639
hitherto,67
eleven,187
tbsp,26
1977,179
concentration,169
carefully,313
george,564
achieved,417
appropriate,572
became,1144
reported,623
country,1585
householder,9
fruit,227
henry,345
live,842
sheet,193
nausea,18
eh,196
sciences,106
factors,448
french,902
upward,30
load,170
fault,183
brother,440
powerful,341
heat,281
linear,70
ferry,69
yes,3040
edmund,37
village,572
suppressed,31
council,1618
monarch,38
halve,13
eating,231
sister,381
son,659
southern,311
differing,68
tumour,57
1966,78
appealed,53
roughly,129
demokratischen,1
predecessor,38
witness,108
male,577
neighbours,167
companies,870
ireland,495
chairman,616
anselm,34
goals,236
backless,1
wrong,734
recognise,193
equal,314
direct,586
teaching,454
n,486
distributed,158
focal,28
nt,97
starr,8
principle,447
sales,521
communications,184
whipped,20
shops,268
fit,450
receiving,158
causes,234
image,370
accorded,27
consists,133
stilled,7
feet,690
andover,3
leads,202
morbidity,17
british,1837
sea-wall,2
emotions,100
social,2068
prepubertal,1
quantity,106
blue,490
amounts,150
400,78
waste,321
mere,169
produce,587
4–2,3
figure,855
sunburnt,2
both,3395
regained,24
occupation,136
na,754
golf,151
confined,102
environment,633
data,943
suggestive,14
draw,344
mass,366
flic,2
hitting,58
include,733
lent,56
settlement,222
fund,361
stolen,128
transfer,358
timeless,10
run,1029
input,176
etc,246
county,546
implications,223
wit,49
apportioned,4
sick,209
colliers,4
housing,440
sadness,47
weather,285
hea,1
desperately,102
genuine,175
absence,282
finland,28
greatness,14
protests,60
flow,246
linked,226
rate,965
painted,142
subsequent,211
procedures,278
facilities,398
levels,648
totally,271
attention,649
eleanor,58
sounded,119
tapping,33
suspects,20
appointments,76
2,1750
peering,25
slower,54
hello,203
months,1234
knows,402
bracket,19
handle,175
corner,361
standing,476
16,385
invest,91
quartier,1
knowledgeable,18
history,957
pit,85
cried,159
debt,281
fellow,254
alike,69
conclusion,246
nationals,35
appalachian,3
regarded,380
eager,72
dissection,2
adverts,9
unhappy,99
true,852
rosy,22
minutes,931
each,3012
legal,685
interview,237
rachmaninoff,1
met,694
complex,444
10-bracknell,1
powerlessness,4
walsingham,6
example,1806
unknown,215
somebody,361
bar,403
recusant,1
sets,268
freeze,54
mitigation,5
secured,96
electricity,195
jesus,279
red,740
seen,1883
dawn,121
ussr,82
presumptive,2
knife,146
allowance,113
item,192
always,2164
overriding,25
angry,216
establishment,195
loan,222
ace,101
threat,313
neither,383
grip,83
chang,14
p,451
higher,824
shows,621
r,355
permissible,16
boswell,24
robin,85
whose,1027
ships,137
justice,390
christmas,426
vga,15
expert,210
cancel,47
strain,137
later,2005
dead,615
arginine-nitric,1
standards,481
mclean,19
getting,992
gladly,14
artificially,16
k.,51
represents,173
wo,797
1–11s,1
descent,53
sacrifice,48
atoms,46
selection,337
cement,37
participants,107
selling,273
commodity,55
replacement,130
prothrombotic,1
next,2296
effort,379
fine,637
nine,650
behaviour,611
allen,77
composing,9
worst,257
dg,8
multi-media,7
clauses,74
cos,901
half,1479
borough,99
spectacles,33
1930s,95
5.5pc,1
department,930
austerity,19
elliott,18
matrix,59
operational,91
joseph,162
acknowledging,18
4000,18
case,2269
add,409
carry-out,2
key,666
hill,357
qualified,140
proposed,414
marble,61
loose,132
february,409
bell,166
hospital,730
stays,47
phone,405
science,557
twilight,18
vocals,14
front,1057
loss,582
remove,215
flame,47
tarot,4
proposal,198
trendy,16
masonry,20
duty,399
mary,341
brew,13
shapechangers,2
provision,424
favourite,245
buy-out,18
'would,1
creeping,30
limiting,50
1920,48
improved,247
etonian,2
alfa,8
named,254
primary,469
sun,585
couples,81
intelligence,155
desperate,120
sheets,115
batteries,38
cheque,96
fixtures,32
mapley,1
died,688
hanley,12
forever,97
1984/5,4
regulations,213
established,628
hereof,3
overwhelming,65
signing,112
medication,26
doth,10
turn,1027
interested,457
overall,409
saw,1301
sara,75
tour,290
forward,726
vat,123
glittered,15
farmer-settlers,1
somehow,218
knockout,14
inn,89
driving,306
substantial,333
suppose,499
dense,50
rooms,244
string,137
abortion,57
19th,65
maintains,43
church,1066
damage,419
inquiry,160
teenage,60
artists,198
confirm,149
victory,284
date,857
employee,174
piece,445
spontaneity,7
wide,606
fleeing,18
mirage,6
shopper,3
strewn,15
mid-wales,5
trap,91
waited,172
wantage,10
facility,118
demonstrate,119
brothers,200
tended,142
primed,6
ragusan,2
follow,494
vibration,17
dried,85
precisely,174
design,689
prescriptions,21
provide,1062
tea,387
cemeteries,18
literally,93
observant,6
adopted,258
faltering,11
stained,63
doodling,1
product,522
elections,287
6.1,27
80%,27
18,422
matched,74
spontaneously,15
post,486
modifications,38
recovery,227
reassessed,4
living,802
400°f/gas,1
huge,393
8.1,16
latter,404
lounge,70
"50,000",29
potentially,118
descend,18
everton,40
alga,2
daftness,1
severe,207
package,286
selfish,33
education,1317
darwin,51
stay,561
early,1681
degree,480
carried,713
hard,1108
acting,256
attractive,244
severely,87
exception,138
essentially,164
achieve,297
deceit,16
danger,290
whereas,316
studies,667
drug,249
colours,247
dissatisfaction,31
bussed,2
send,394
'm,3232
prevent,313
severn,33
star,331
display,344
spices,18
avoid,356
upsides,1
assembly,289
touch,405
denmark,68
comet,9
given,2077
several,1211
convergence,27
schools,784
brendan,18
africa,388
grade,132
bill,720
feed,150
villa,89
corp,292
grant,367
calculated,129
consecutive,33
unsuitable,34
sin,64
holland,83
traynor,2
expenses,89
grass,208
specialized,35
unclothed,1
crept,42
questions,720
perforce,4
old,2667
worse,341
officers,471
immature,35
sponsors,39
brochure,61
fat,224
organising,53
bills,157
maturity,78
scarman,14
borneo,15
correspondent,124
sniff,20
lost,999
fallon,26
gratitude,40
jury,111
controls,189
elegant,84
non-verbal,16
academic,246
shook,242
seem,842
occasionally,206
bread,188
begin,386
supervision,77
harm,132
friendly,202
seeks,77
zloty,3
successful,576
prediction,33
falls,159
below,690
estates,91
1750,9
sensitivity,85
pouring,52
opposite,291
missed,223
fan,100
stimulated,43
indica,4
december,479
integral,71
messages,93
carter-ruck,2
lessons,107
interacts,6
blade,52
anyway,600
greece,102
smallest,57
musical,162
$,12
wilko,17
courses,398
worth,597
interpreter,28
components,158
acid,254
card,299
corresponding,98
scotch,33
pause,86
cope,204
hit,503
altrincham,8
cousins,19
67,38
butterfly,26
lease,124
livermore,6
visibility,24
individuals,405
trains,122
romantic,110
vast,223
educational,309
essential,447
reduce,340
buses,84
conducted,170
ate,95
discussing,101
